Tiempo ,REI,V_ANGULA,V_CARRIT,ANGULO,CARRITO,REFERENC
,,,,,,
-0.1,0,0,0,0,0,0
-0.095,0,0,0,0,0,0
-0.09,0,0,0,0,0,0
-0.085,0,0,0,0,0,0
-0.08,0,0,0,0,0,0
-0.075,0,0,0,0,0,0
-0.07,0,0,0,0,0,0
-0.065,0,0,0,0,0,0
-0.06,0,0,0,0,0,0
-0.055,0,0,0,0,0,0
-0.05,0,0,0,0,0,0
-0.045,0,0,0,0,0,0
-0.04,0,0,0,0,0,0
-0.035,0,0,0,0,0,0
-0.03,0,0,0,0,0,0
-0.025,0,0,0,0,0,0
-0.02,0,0,0,0,0,0
-0.015,0,0,0,0,0,0
-0.01,0,0,0,0,0,0
-0.005,0,0,0,0,0,0
0,0.047,0,0,0,0,0.5
0.005,0.094,0,0,0,0,0.5
0.01,0.141,0,0,0,0,0.5
0.015,0.188,0,0,0,0,0.5
0.02,0.235,0,0,0,0,0.5
0.025,0.282,0,0,0,0,0.5
0.03,0.329,0,0,0,0,0.5
0.035,0.376,0,0,0,0,0.5
0.04,0.423,0,0,0,0,0.5
0.045,0.47,0,0,0,0,0.5
0.05,0.517,0,0,0,0,0.5
0.055,0.564,0,0,0,0,0.5
0.06,0.611,0,0,0,0,0.5
0.065,0.658,0,0,0,0,0.5
0.07,0.705,0,0,0,0,0.5
0.075,0.752,0,0,0,0,0.5
0.08,0.799,0,0,0,0,0.5
0.085,0.844,0,0,0,0,0.5
0.09,0.89,0,0.001,0,0,0.5
0.095,0.935,0,0.001,0,0,0.5
0.1,0.98,0,0.002,0,0,0.5
0.105,1.024,0,0.002,0,0,0.5
0.11,1.069,0,0.003,0,0,0.5
0.115,1.114,0,0.003,0,0,0.5
0.12,1.156,-0.027,0.004,-0.002,0,0.5
0.125,1.2,-0.061,0.004,-0.002,0,0.5
0.13,1.243,-0.067,0.005,-0.002,0,0.5
0.135,1.281,-0.086,0.006,-0.003,0,0.5
0.14,1.319,-0.135,0.008,-0.005,0,0.5
0.145,1.36,-0.163,0.009,-0.005,0,0.5
0.15,1.397,-0.177,0.011,-0.007,0.001,0.5
0.155,1.433,-0.21,0.012,-0.009,0.001,0.5
0.16,1.474,-0.219,0.013,-0.009,0.001,0.5
0.165,1.511,-0.217,0.014,-0.01,0.001,0.5
0.17,1.548,-0.236,0.016,-0.012,0.001,0.5
0.175,1.587,-0.235,0.017,-0.012,0.001,0.5
0.18,1.625,-0.225,0.017,-0.014,0.001,0.5
0.185,1.664,-0.24,0.018,-0.016,0.001,0.5
0.19,1.705,-0.263,0.018,-0.017,0.001,0.5
0.195,1.746,-0.26,0.018,-0.017,0.001,0.5
0.2,1.783,-0.246,0.019,-0.019,0.001,0.5
0.205,1.82,-0.255,0.019,-0.021,0.002,0.5
0.21,1.858,-0.273,0.02,-0.023,0.002,0.5
0.215,1.89,-0.32,0.021,-0.026,0.002,0.5
0.22,1.923,-0.372,0.023,-0.028,0.002,0.5
0.225,1.953,-0.392,0.025,-0.03,0.002,0.5
0.23,1.981,-0.421,0.027,-0.033,0.002,0.5
0.235,2.012,-0.45,0.029,-0.035,0.002,0.5
0.24,2.042,-0.447,0.031,-0.037,0.003,0.5
0.245,2.069,-0.458,0.033,-0.04,0.003,0.5
0.25,2.101,-0.473,0.034,-0.042,0.003,0.5
0.255,2.133,-0.487,0.035,-0.045,0.003,0.5
0.26,2.167,-0.499,0.035,-0.047,0.003,0.5
0.265,2.202,-0.482,0.036,-0.049,0.004,0.5
0.27,2.237,-0.454,0.035,-0.051,0.004,0.5
0.275,2.269,-0.452,0.035,-0.054,0.004,0.5
0.28,2.304,-0.462,0.035,-0.056,0.004,0.5
0.285,2.34,-0.449,0.035,-0.058,0.004,0.5
0.29,2.377,-0.428,0.035,-0.059,0.004,0.5
0.295,2.413,-0.407,0.035,-0.061,0.005,0.5
0.3,2.449,-0.388,0.034,-0.063,0.005,0.5
0.305,2.484,-0.374,0.034,-0.065,0.005,0.5
0.31,2.518,-0.364,0.034,-0.066,0.005,0.5
0.315,2.548,-0.357,0.036,-0.068,0.005,0.5
0.32,2.572,-0.379,0.038,-0.072,0.006,0.5
0.325,2.601,-0.411,0.04,-0.073,0.006,0.5
0.33,2.625,-0.443,0.042,-0.077,0.006,0.5
0.335,2.653,-0.469,0.044,-0.079,0.006,0.5
0.34,2.678,-0.49,0.045,-0.082,0.006,0.5
0.345,2.707,-0.504,0.046,-0.084,0.007,0.5
0.35,2.736,-0.513,0.047,-0.087,0.007,0.5
0.355,2.768,-0.519,0.047,-0.089,0.007,0.5
0.36,2.8,-0.496,0.047,-0.091,0.007,0.5
0.365,2.832,-0.463,0.047,-0.093,0.008,0.5
0.37,2.866,-0.431,0.047,-0.094,0.008,0.5
0.375,2.9,-0.377,0.046,-0.094,0.008,0.5
0.38,2.925,-0.349,0.047,-0.098,0.008,0.5
0.385,2.945,-0.389,0.049,-0.101,0.009,0.5
0.39,2.968,-0.428,0.052,-0.103,0.009,0.5
0.395,2.992,-0.433,0.055,-0.105,0.009,0.5
0.4,3.012,-0.45,0.057,-0.108,0.01,0.5
0.405,3.036,-0.495,0.058,-0.112,0.01,0.5
0.41,3.069,-0.519,0.058,-0.113,0.01,0.5
0.415,3.105,-0.478,0.057,-0.113,0.01,0.5
0.42,3.137,-0.413,0.055,-0.115,0.011,0.5
0.425,3.168,-0.374,0.055,-0.117,0.011,0.5
0.43,3.203,-0.326,0.054,-0.117,0.011,0.5
0.435,3.238,-0.255,0.054,-0.117,0.011,0.5
0.44,3.265,-0.21,0.054,-0.119,0.012,0.5
0.445,3.283,-0.238,0.056,-0.122,0.012,0.5
0.45,3.302,-0.294,0.059,-0.124,0.012,0.5
0.455,3.323,-0.328,0.062,-0.126,0.013,0.5
0.46,3.35,-0.346,0.063,-0.127,0.013,0.5
0.465,3.382,-0.328,0.063,-0.127,0.013,0.5
0.47,3.408,-0.297,0.063,-0.129,0.014,0.5
0.475,3.435,-0.291,0.063,-0.131,0.014,0.5
0.48,3.468,-0.27,0.063,-0.131,0.014,0.5
0.485,3.501,-0.22,0.063,-0.131,0.015,0.5
0.49,3.528,-0.163,0.063,-0.131,0.015,0.5
0.495,3.544,-0.167,0.065,-0.134,0.015,0.5
0.5,3.561,-0.222,0.068,-0.136,0.016,0.5
0.505,3.582,-0.267,0.07,-0.138,0.016,0.5
