Tiempo ,REI,V_ANGULA,V_CARRIT,ANGULO,CARRITO,REFERENC
,,,,,,
-0.1,0,0,0,0,0,0
-0.095,0,0,0,0,0,0
-0.09,0,0,0,0,0,0
-0.085,0,0,0,0,0,0
-0.08,0,0,0,0,0,0
-0.075,0,0,0,0,0,0
-0.07,0,0,0,0,0,0
-0.065,0,0,0,0,0,0
-0.06,0,0,0,0,0,0
-0.055,0,0,0,0,0,0
-0.05,0,0,0,0,0,0
-0.045,0,0,0,0,0,0
-0.04,0,0,0,0,0,0
-0.035,0,0,0,0,0,0
-0.03,0,0,0,0,0,0
-0.025,0,0,0,0,0,0
-0.02,0,0,0,0,0,0
-0.015,0,0,0,0,0,0
-0.01,0,0,0,0,0,0
-0.005,0,0,0,0,0,0
0,0.069,0,0,0.002,0,0.5
0.005,0.113,0,0,0.002,0,0.5
0.01,0.157,0,0,0.002,0,0.5
0.015,0.2,0,0,0.002,0,0.5
0.02,0.244,0,0,0.002,0,0.5
0.025,0.288,0,0,0.002,0,0.5
0.03,0.332,0,0,0.002,0,0.5
0.035,0.375,0,0,0.002,0,0.5
0.04,0.419,0,0,0.002,0,0.5
0.045,0.463,0,0,0.002,0,0.5
0.05,0.507,0,0,0.002,0,0.5
0.055,0.55,0,0,0.002,0,0.5
0.06,0.594,0,0,0.002,0,0.5
0.065,0.638,0,0,0.002,0,0.5
0.07,0.682,0,0,0.002,0,0.5
0.075,0.725,0,0,0.002,0,0.5
0.08,0.769,0,0,0.002,0,0.5
0.085,0.813,0,0,0.002,0,0.5
0.09,0.857,0,0,0.002,0,0.5
0.095,0.901,0,0,0.002,0,0.5
0.1,0.944,0,0,0.002,0,0.5
0.105,0.988,0,0,0.002,0,0.5
0.11,1.032,0,0,0.002,0,0.5
0.115,1.076,0,0,0.002,0,0.5
0.12,1.119,0,0,0.002,0,0.5
0.125,1.163,0,0,0.002,0,0.5
0.13,1.207,0,0,0.002,0,0.5
0.135,1.251,0,0,0.002,0,0.5
0.14,1.294,0,0,0.002,0,0.5
0.145,1.338,0,0,0.002,0,0.5
0.15,1.382,0,0,0.002,0,0.5
0.155,1.426,0,0,0.002,0,0.5
0.16,1.471,0,0,0.002,0,0.5
0.165,1.517,0,0.001,0.002,0,0.5
0.17,1.562,0,0.001,0.002,0,0.5
0.175,1.605,0,0.001,0.002,0,0.5
0.18,1.648,0,0.001,0.002,0,0.5
0.185,1.69,0,0,0.002,0,0.5
0.19,1.733,0,0,0.002,0,0.5
0.195,1.778,0,0.001,0.002,0,0.5
0.2,1.825,0,0.001,0.002,0,0.5
0.205,1.873,0,0.002,0.002,0,0.5
0.21,1.876,-0.027,0.003,0,0,0.5
0.215,1.898,-0.061,0.004,0,0,0.5
0.22,1.942,-0.067,0.004,0,0,0.5
0.225,1.949,-0.086,0.005,-0.002,0,0.5
0.23,1.98,-0.109,0.006,-0.002,0,0.5
0.235,1.989,-0.129,0.007,-0.003,0,0.5
0.24,2.029,-0.145,0.009,-0.003,0,0.5
0.245,2.049,-0.156,0.011,-0.005,0,0.5
0.25,2.049,-0.191,0.012,-0.007,0.001,0.5
0.255,2.087,-0.204,0.013,-0.007,0.001,0.5
0.26,2.107,-0.205,0.014,-0.009,0.001,0.5
0.265,2.153,-0.201,0.014,-0.009,0.001,0.5
0.27,2.177,-0.195,0.015,-0.01,0.001,0.5
0.275,2.18,-0.216,0.016,-0.012,0.001,0.5
0.28,2.221,-0.219,0.016,-0.012,0.001,0.5
0.285,2.243,-0.214,0.016,-0.014,0.001,0.5
0.29,2.247,-0.232,0.017,-0.016,0.001,0.5
0.295,2.247,-0.258,0.017,-0.017,0.001,0.5
0.3,2.291,-0.257,0.018,-0.017,0.001,0.5
0.305,2.319,-0.244,0.019,-0.019,0.002,0.5
0.31,2.332,-0.254,0.02,-0.021,0.002,0.5
0.315,2.295,-0.3,0.021,-0.024,0.002,0.5
0.32,2.275,-0.354,0.022,-0.026,0.002,0.5
0.325,2.275,-0.378,0.023,-0.028,0.002,0.5
0.33,2.289,-0.384,0.024,-0.03,0.002,0.5
0.335,2.313,-0.382,0.025,-0.031,0.002,0.5
0.34,2.338,-0.376,0.026,-0.033,0.002,0.5
0.345,2.36,-0.369,0.027,-0.035,0.003,0.5
0.35,2.383,-0.363,0.028,-0.037,0.003,0.5
0.355,2.407,-0.358,0.029,-0.038,0.003,0.5
0.36,2.426,-0.354,0.029,-0.04,0.003,0.5
0.365,2.442,-0.352,0.03,-0.042,0.003,0.5
0.37,2.455,-0.35,0.03,-0.044,0.003,0.5
0.375,2.466,-0.35,0.029,-0.045,0.003,0.5
0.38,2.478,-0.349,0.029,-0.047,0.004,0.5
0.385,2.491,-0.349,0.029,-0.049,0.004,0.5
0.39,2.502,-0.349,0.029,-0.051,0.004,0.5
0.395,2.511,-0.349,0.028,-0.052,0.004,0.5
0.4,2.521,-0.349,0.028,-0.054,0.004,0.5
0.405,2.534,-0.349,0.028,-0.056,0.004,0.5
0.41,2.595,-0.322,0.029,-0.056,0.004,0.5
0.415,2.596,-0.314,0.03,-0.059,0.005,0.5
0.42,2.599,-0.343,0.032,-0.061,0.005,0.5
0.425,2.614,-0.357,0.034,-0.063,0.005,0.5
0.43,2.632,-0.362,0.036,-0.065,0.005,0.5
0.435,2.652,-0.362,0.038,-0.066,0.005,0.5
0.44,2.632,-0.387,0.04,-0.07,0.006,0.5
0.445,2.634,-0.419,0.042,-0.072,0.006,0.5
0.45,2.651,-0.423,0.044,-0.073,0.006,0.5
0.455,2.675,-0.413,0.045,-0.075,0.006,0.5
0.46,2.652,-0.426,0.046,-0.079,0.007,0.5
0.465,2.644,-0.446,0.045,-0.08,0.007,0.5
0.47,2.655,-0.441,0.045,-0.082,0.007,0.5
0.475,2.674,-0.424,0.044,-0.084,0.007,0.5
0.48,2.692,-0.405,0.044,-0.086,0.007,0.5
0.485,2.755,-0.362,0.043,-0.086,0.008,0.5
0.49,2.798,-0.313,0.043,-0.087,0.008,0.5
0.495,2.822,-0.297,0.043,-0.089,0.008,0.5
0.5,2.799,-0.324,0.046,-0.093,0.008,0.5
0.505,2.837,-0.34,0.048,-0.093,0.009,0.5
0.51,2.825,-0.349,0.05,-0.096,0.009,0.5
0.515,2.821,-0.379,0.052,-0.098,0.009,0.5
0.52,2.832,-0.388,0.054,-0.099,0.01,0.5
0.525,2.845,-0.387,0.054,-0.101,0.01,0.5
