Tiempo ;Entrada;Angulo;Posicion
0;0;0;0
0.02;0;0;0
0.04;0;0;0
0.06;0;0;0
0.08;0;0;0
0.1;0;0;0
0.12;0;0;0
0.14;0;0;0
0.16;0;0;0
0.18;0;0;0
0.2;0;0;0
0.22;0;0;0
0.24;0;0;0
0.26;0;0;0
0.28;0;0;0
0.3;0;0;0
0.32;0;0;0
0.34;0;0;0
0.36;0;0;0
0.38;0;0;0
0.4;0;0;0
0.42;0;0;0
0.44;0;0;0
0.46;0;0;0
0.48;0;0;0
0.5;0;0;0
0.52;0;0;0
0.54;0;0;0
0.56;0;0;0
0.58;0;0;0
0.6;0;0;0
0.62;0;0;0
0.64;0;0;0
0.66;0;0;0
0.68;0;0;0
0.7;0;0;0
0.72;0;0;0
0.74;0;0;0
0.76;0;0;0
0.78;0;0;0
0.8;0;0;0
0.82;0;0;0
0.84;0;0;0
0.86;0;0;0
0.88;0;0;0
0.9;0;0;0
0.92;0;0;0
0.94;0;0;0
0.96;0;0;0
0.98;0;0;0
1;0;0;0
1.02;0;0;0
1.04;0.3;0;0
1.06;0.6;0;0
1.08;0.9;0;0
1.1;1.2;0;0
1.12;1.5;0;0
1.14;1.8;-0.005;0
1.16;2.1;-0.01;0.001
1.18;2.4;-0.019;0.001
1.2;2.7;-0.031;0.002
1.22;3;-0.042;0.003
1.24;3.3;-0.054;0.004
1.26;3.6;-0.068;0.005
1.28;3.9;-0.086;0.006
1.3;4.2;-0.101;0.007
1.32;4.5;-0.122;0.009
1.34;4.8;-0.138;0.01
1.36;5.1;-0.157;0.012
1.38;5.4;-0.178;0.014
1.4;5.7;-0.194;0.016
1.42;6;-0.213;0.019
1.44;6.3;-0.23;0.021
1.46;6.6;-0.244;0.023
1.48;6.9;-0.258;0.026
1.5;7.2;-0.274;0.029
1.52;7.5;-0.288;0.032
1.54;7.5;-0.302;0.035
1.56;7.5;-0.311;0.039
1.58;7.5;-0.316;0.042
1.6;7.5;-0.321;0.045
1.62;7.5;-0.321;0.049
1.64;7.5;-0.318;0.052
1.66;7.5;-0.307;0.056
1.68;7.5;-0.298;0.06
1.7;7.5;-0.278;0.063
1.72;7.5;-0.26;0.067
1.74;7.5;-0.237;0.071
1.76;7.5;-0.208;0.074
1.78;7.5;-0.176;0.078
1.8;7.5;-0.141;0.081
1.82;7.5;-0.11;0.085
1.84;7.5;-0.072;0.089
1.86;7.5;-0.037;0.092
1.88;7.5;0.002;0.096
1.9;7.5;0.044;0.099
1.92;7.5;0.08;0.103
1.94;7.5;0.117;0.106
1.96;7.5;0.15;0.11
1.98;7.5;0.183;0.114
2;7.5;0.209;0.117
2.02;7.5;0.236;0.121
2.04;7.5;0.258;0.125
2.06;7.5;0.276;0.128
2.08;7.5;0.29;0.132
2.1;7.5;0.3;0.136
2.12;7.5;0.305;0.14
2.14;7.5;0.305;0.143
2.16;7.5;0.302;0.147
2.18;7.5;0.298;0.151
2.2;7.5;0.288;0.154
2.22;7.5;0.272;0.158
2.24;7.5;0.255;0.162
2.26;7.5;0.232;0.165
2.28;7.5;0.211;0.169
2.3;7.5;0.178;0.173
2.32;7.5;0.154;0.176
2.34;7.5;0.12;0.179
2.36;7.5;0.084;0.183
2.38;7.5;0.049;0.187
2.4;7.5;0.01;0.19
2.42;7.5;-0.023;0.194
2.44;7.5;-0.063;0.198
2.46;7.5;-0.098;0.201
2.48;7.5;-0.131;0.205
2.5;7.5;-0.168;0.209
2.52;7.5;-0.199;0.213
2.54;7.2;-0.227;0.216
2.56;6.9;-0.246;0.22
2.58;6.6;-0.269;0.223
2.6;6.3;-0.283;0.227
2.62;6;-0.291;0.23
2.64;5.7;-0.293;0.233
2.66;5.4;-0.288;0.236
2.68;5.1;-0.279;0.239
2.7;4.8;-0.26;0.242
2.72;4.5;-0.243;0.245
2.74;4.2;-0.215;0.248
2.76;3.9;-0.182;0.25
2.78;3.6;-0.141;0.252
2.8;3.3;-0.094;0.254
2.82;3;-0.052;0.256
2.84;2.7;0.002;0.258
