Tiempo ;YAW;PITCH;E_YAW;E_PITCH
0;0;0;0;0
0.02;0;0;0;0
0.04;0;0;0;18.7
0.06;0;0;0;18.7
0.08;0;0;0;18.7
0.1;0.002;0;0;18.7
0.12;0.003;0;0;18.7
0.14;0.005;0;0;18.7
0.16;0.007;0;0;18.7
0.18;0.009;0;0;18.7
0.2;0.01;0;0;18.7
0.22;0.012;0;0;18.7
0.24;0.016;0;0;18.7
0.26;0.017;0;0;18.7
0.28;0.019;0;0;18.7
0.3;0.023;0.007;0;18.7
0.32;0.024;0.012;0;18.7
0.34;0.026;0.017;0;18.7
0.36;0.03;0.021;0;18.7
0.38;0.031;0.026;0;18.7
0.4;0.033;0.03;0;18.7
0.42;0.037;0.035;0;18.7
0.44;0.038;0.042;0;18.7
0.46;0.042;0.047;0;18.7
0.48;0.044;0.052;0;18.7
0.5;0.047;0.058;0;18.7
0.52;0.051;0.058;0;18.7
0.54;0.052;0.072;0;18.7
0.56;0.056;0.082;0;18.7
0.58;0.059;0.093;0;18.7
0.6;0.061;0.096;0;18.7
0.62;0.065;0.106;0;18.7
0.64;0.068;0.113;0;18.7
0.66;0.07;0.122;0;18.7
0.68;0.073;0.134;0;18.7
0.7;0.077;0.14;0;18.7
0.72;0.08;0.148;0;18.7
0.74;0.084;0.162;0;18.7
0.76;0.086;0.173;0;18.7
0.78;0.089;0.185;0;18.7
0.8;0.093;0.197;0;18.7
0.82;0.096;0.208;0;18.7
0.84;0.099;0.22;0;18.7
0.86;0.103;0.232;0;18.7
0.88;0.106;0.243;0;18.7
0.9;0.11;0.255;0;18.7
0.92;0.113;0.267;0;18.7
0.94;0.117;0.279;0;18.7
0.96;0.12;0.291;0;18.7
0.98;0.124;0.304;0;18.7
1;0.127;0.318;0;18.7
1.02;0.131;0.33;0;18.7
1.04;0.134;0.342;0;18.7
1.06;0.14;0.354;0;18.7
1.08;0.143;0.367;0;18.7
1.1;0.147;0.38;0;18.7
1.12;0.15;0.393;0;18.7
1.14;0.154;0.4;0;18.7
1.16;0.159;0.412;0;18.7
1.18;0.162;0.431;0;18.7
1.2;0.166;0.443;0;18.7
1.22;0.171;0.457;0;18.7
1.24;0.175;0.463;0;18.7
1.26;0.178;0.476;0;18.7
1.28;0.183;0.494;0;18.7
1.3;0.187;0.508;0;18.7
1.32;0.192;0.513;0;18.7
1.34;0.195;0.532;0;18.7
1.36;0.201;0.545;0;18.7
1.38;0.204;0.55;0;18.7
1.4;0.209;0.562;0;18.7
1.42;0.213;0.576;0;18.7
1.44;0.218;0.592;0;18.7
1.46;0.223;0.597;0;18.7
1.48;0.227;0.609;0;18.7
1.5;0.232;0.627;0;18.7
1.52;0.237;0.632;0;18.7
1.54;0.243;0.642;0;18.7
1.56;0.248;0.653;0;18.7
1.58;0.251;0.663;0;18.7
1.6;0.257;0.679;0;18.7
1.62;0.262;0.682;0;18.7
1.64;0.267;0.693;0;18.7
1.66;0.272;0.707;0;18.7
1.68;0.278;0.717;0;18.7
1.7;0.283;0.726;0;18.7
1.72;0.288;0.73;0;18.7
1.74;0.295;0.738;0;18.7
1.76;0.3;0.752;0;18.7
1.78;0.305;0.756;0;18.7
1.8;0.311;0.764;0;18.7
1.82;0.318;0.771;0;18.7
1.84;0.323;0.78;0;18.7
1.86;0.328;0.787;0;18.7
1.88;0.335;0.794;0;18.7
1.9;0.342;0.801;0;18.7
1.92;0.347;0.81;0;18.7
1.94;0.354;0.817;0;18.7
1.96;0.361;0.824;0;18.7
1.98;0.367;0.829;0;18.7
2;0.374;0.836;0;18.7
2.02;0.38;0.841;0;18.7
2.04;0.386;0.846;0;18.7
2.06;0.393;0.852;0;18.7
2.08;0.4;0.857;0;18.7
2.1;0.407;0.859;0;18.7
2.12;0.414;0.866;0;18.7
2.14;0.421;0.871;0;18.7
2.16;0.429;0.874;0;18.7
2.18;0.436;0.878;0;18.7
2.2;0.443;0.88;0;18.7
2.22;0.45;0.883;0;18.7
2.24;0.459;0.887;0;18.7
2.26;0.466;0.892;0;18.7
2.28;0.475;0.892;0;18.7
2.3;0.482;0.895;0;18.7
