Tiempo ;PITCH;YAW;E_YAW;E_PITCH
0;0;0;0;0
0.02;0;0;0;0
0.04;0;0;0;0
0.06;0;0;0;0
0.08;0;0;0;0
0.1;0;0;0;0
0.12;0;0;0;0
0.14;0;0;0;0
0.16;0;0;0;0
0.18;0;0;0;0
0.2;0;0;0;0
0.22;0;0;0;0
0.24;0;0;0;0
0.26;0;0;0;0
0.28;0;0;0;0
0.3;0;0;0;0
0.32;0;0;0;0
0.34;0;0;0;0
0.36;0;0;0;0
0.38;0;0;0;0
0.4;0;0;0;0
0.42;0;0;0;0
0.44;0;0;0;0
0.46;0;0;0;0
0.48;0;0;0;0
0.5;0;0;0;0
0.52;0;0;0;0
0.54;0;0;0;0
0.56;0;0;0;0
0.58;0;0;0;0
0.6;0;0;0;0
0.62;0;0;0;0
0.64;0;0;0;0
0.66;0;0;0;0
0.68;0;0;0;0
0.7;0;0;0;0
0.72;0;0;0;0
0.74;0;0;0;0
0.76;0;0;0;0
0.78;0;0;0;0
0.8;0;0;0;0
0.82;0;0;0;0
0.84;0;0;0;0
0.86;0;0;0;0
0.88;0;0;0;0
0.9;0;0;0;0
0.92;0;0;0;0
0.94;0;0;0;0
0.96;0;0;0;0
0.98;0;0;0;0
1;0;0;0;0
1.02;0;0;0;0
1.04;0;0;6;0
1.06;0;0;6;0
1.08;0;0;6;0
1.1;0;0;6;0
1.12;0;0;6;0
1.14;0;0;6;0
1.16;0;0;6;0
1.18;0;0;6;0
1.2;0;0;6;0
1.22;0;0;6;0
1.24;0;0;6;0
1.26;0;-0.002;6;0
1.28;0;-0.002;6;0
1.3;0;-0.002;6;0
1.32;0;-0.002;6;0
1.34;0;-0.002;6;0
1.36;0;-0.002;6;0
1.38;0;-0.002;6;0
1.4;0;-0.002;6;0
1.42;0;-0.003;6;0
1.44;0;-0.003;6;0
1.46;0;-0.003;6;0
1.48;0;-0.003;6;0
1.5;0;-0.005;6;0
1.52;0;-0.005;6;0
1.54;0;-0.007;6;0
1.56;0;-0.007;6;0
1.58;0;-0.009;6;0
1.6;0;-0.009;6;0
1.62;0;-0.01;6;0
1.64;0;-0.012;6;0
1.66;0;-0.012;6;0
1.68;0;-0.014;6;0
1.7;0;-0.016;6;0
1.72;0;-0.017;6;0
1.74;0;-0.019;6;0
1.76;0;-0.021;6;0
1.78;0;-0.023;6;0
1.8;0;-0.024;6;0
1.82;0;-0.028;6;0
1.84;0;-0.03;6;0
1.86;0;-0.033;6;0
1.88;0;-0.035;6;0
1.9;0;-0.038;6;0
1.92;0;-0.04;6;0
1.94;0;-0.044;6;0
1.96;0;-0.047;6;0
1.98;0;-0.051;6;0
2;0;-0.052;6;0
2.02;0;-0.056;6;0
2.04;0;-0.061;6;0
2.06;0;-0.065;6;0
2.08;0;-0.068;6;0
2.1;0;-0.072;6;0
2.12;0;-0.077;6;0
2.14;0;-0.08;6;0
2.16;0;-0.086;6;0
2.18;0;-0.089;6;0
2.2;0;-0.094;6;0
2.22;0;-0.099;6;0
2.24;0;-0.105;6;0
2.26;0;-0.11;6;0
2.28;0;-0.115;6;0
2.3;0;-0.12;6;0
2.32;0;-0.126;6;0
2.34;0;-0.133;6;0
2.36;0;-0.138;6;0
2.38;0;-0.143;6;0
2.4;0;-0.15;6;0
2.42;0;-0.157;6;0
2.44;0;-0.162;6;0
2.46;0;-0.169;6;0
2.48;0;-0.176;6;0
2.5;0;-0.183;6;0
2.52;0;-0.19;6;0
2.54;0;-0.197;6;0
2.56;0;-0.204;6;0
2.58;0;-0.213;6;0
2.6;0;-0.22;6;0
2.62;0;-0.229;6;0
2.64;0;-0.236;6;0
2.66;0;-0.244;6;0
2.68;0;-0.253;6;0
2.7;0;-0.262;6;0
2.72;0;-0.271;6;0
2.74;0;-0.279;6;0
2.76;0;-0.288;6;0
2.78;0;-0.297;6;0
2.8;0;-0.305;6;0
2.82;0;-0.316;6;0
2.84;0;-0.325;6;0
2.86;0;-0.335;6;0
2.88;0;-0.346;6;0
2.9;0;-0.354;6;0
2.92;0;-0.365;6;0
2.94;0;-0.375;6;0
2.96;0;-0.386;6;0
