Tiempo ,U_YAW,U_PITCH,W_YAW,W_PITCH,YAW,PITCH
0,1.675,14.884,0,0,0,-0.583
0.02,1.723,15.241,0,0,0,-0.583
0.04,1.771,15.597,0,0,0,-0.583
0.06,3.157,15.89,0.044,0,0.002,-0.583
0.08,3.288,16.242,0.047,0,0.002,-0.583
0.1,3.274,16.6,0.044,0,0.003,-0.583
0.12,4.647,16.894,0.088,0,0.005,-0.583
0.14,3.488,17.305,0.046,0,0.005,-0.583
0.16,3.392,17.666,0.04,0,0.007,-0.583
0.18,4.866,17.955,0.088,0,0.009,-0.583
0.2,5.057,18.303,0.091,0,0.01,-0.583
0.22,5.039,18.66,0.087,0,0.012,-0.583
0.24,5.111,19.013,0.087,0,0.014,-0.583
0.26,5.208,19.365,0.087,0,0.016,-0.583
0.28,5.298,19.717,0.087,0,0.017,-0.583
0.3,5.387,20.07,0.087,0,0.019,-0.583
0.32,5.336,19.778,0.087,0.044,0.021,-0.581
0.34,5.277,19.447,0.087,0.092,0.023,-0.58
0.36,6.56,19.054,0.132,0.135,0.026,-0.576
0.38,6.591,18.724,0.135,0.179,0.028,-0.573
0.4,5.134,18.411,0.087,0.222,0.03,-0.567
0.42,5.119,18.679,0.083,0.222,0.031,-0.564
0.44,5.453,19.574,0.087,0.174,0.033,-0.56
0.46,5.416,19.219,0.088,0.215,0.035,-0.555
0.48,5.327,18.732,0.087,0.266,0.037,-0.55
0.5,5.54,19.576,0.087,0.221,0.038,-0.546
0.52,5.636,19.867,0.087,0.214,0.04,-0.541
0.54,5.565,19.417,0.087,0.262,0.042,-0.536
0.56,5.347,18.269,0.087,0.355,0.044,-0.527
0.58,3.937,17.845,0.043,0.401,0.044,-0.52
0.6,3.931,18.001,0.04,0.396,0.045,-0.511
0.62,5.41,18.123,0.088,0.392,0.047,-0.504
0.64,5.428,17.554,0.091,0.437,0.049,-0.494
0.66,5.235,16.991,0.087,0.484,0.051,-0.485
0.68,4.081,17.731,0.043,0.439,0.051,-0.477
0.7,4.086,17.89,0.04,0.433,0.052,-0.468
0.72,5.537,17.84,0.088,0.436,0.054,-0.459
0.74,4.212,17.297,0.047,0.481,0.054,-0.449
0.76,2.734,17.38,-0.004,0.484,0.054,-0.44
0.78,4.098,17.365,0.04,0.48,0.056,-0.429
0.8,4.324,17.4,0.047,0.48,0.056,-0.421
0.82,4.7,19.318,0.044,0.347,0.058,-0.415
0.84,4.16,16.887,0.043,0.516,0.058,-0.4
0.86,3.745,14.768,0.044,0.671,0.059,-0.389
0.88,4.035,15.945,0.044,0.578,0.059,-0.377
0.9,2.802,16.217,-0.001,0.559,0.059,-0.367
0.92,3.123,17.977,-0.004,0.433,0.059,-0.36
0.94,4.169,16.018,0.044,0.559,0.061,-0.344
0.96,3.946,14.507,0.048,0.667,0.061,-0.333
0.98,2.96,16.351,-0.001,0.53,0.061,-0.323
1,2.921,16.522,-0.004,0.512,0.061,-0.312
1.02,2.864,15.659,0,0.567,0.061,-0.3
1.04,3.287,17.438,0,0.438,0.061,-0.295
1.06,3.036,16.189,0,0.515,0.061,-0.279
1.08,2.724,14.729,0,0.619,0.061,-0.271
1.1,3.549,18.35,0,0.353,0.061,-0.265
1.12,3.072,16.058,0,0.505,0.061,-0.25
1.14,2.29,12.43,0,0.758,0.061,-0.236
1.16,2.682,14.053,0,0.629,0.061,-0.225
1.18,3.037,15.513,0,0.511,0.061,-0.215
1.2,3.024,15.334,0,0.514,0.061,-0.204
1.22,3.13,15.701,0,0.48,0.061,-0.196
1.24,3.272,16.229,0,0.433,0.061,-0.187
1.26,3.271,16.122,0,0.433,0.061,-0.178
1.28,2.978,14.667,0,0.525,0.061,-0.166
1.3,3.237,15.752,0,0.442,0.061,-0.161
1.32,3.263,15.711,0,0.429,0.061,-0.148
1.34,3.251,15.586,0,0.435,0.061,-0.143
1.36,3.232,15.341,0,0.437,0.061,-0.131
1.38,3.377,15.936,0,0.392,0.061,-0.127
1.4,3.651,17.029,0,0.3,0.061,-0.119
1.42,4.723,15.69,0.044,0.387,0.063,-0.112
1.44,4.479,14.067,0.047,0.489,0.063,-0.1
1.46,3.078,14.019,-0.001,0.488,0.063,-0.093
1.48,3.689,17.1,-0.004,0.258,0.063,-0.089
1.5,3.838,17.169,0,0.243,0.063,-0.082
1.52,3.664,16.242,0,0.305,0.063,-0.077
1.54,3.635,16.039,0,0.311,0.063,-0.07
1.56,3.647,16.012,0,0.306,0.063,-0.065
1.58,3.784,16.526,0,0.261,0.063,-0.059
1.6,3.931,17.105,0,0.214,0.063,-0.056
1.62,3.927,16.995,0,0.214,0.063,-0.051
1.64,3.918,16.883,0,0.218,0.063,-0.047
1.66,4.055,17.418,0,0.174,0.063,-0.044
1.68,3.927,16.753,0,0.215,0.063,-0.038
1.7,3.91,16.602,0,0.222,0.063,-0.035
1.72,4.196,17.816,0,0.13,0.063,-0.033
1.74,4.077,17.189,0,0.168,0.063,-0.028
1.76,4.053,17.025,0,0.178,0.063,-0.026
1.78,4.336,18.228,0,0.086,0.063,-0.024
1.8,4.362,18.287,0,0.08,0.063,-0.023
1.82,4.347,18.16,0,0.087,0.063,-0.021
1.84,4.209,17.47,0,0.132,0.063,-0.018
1.86,4.347,18.047,0,0.09,0.063,-0.018
1.88,4.507,18.698,0,0.039,0.063,-0.016
1.9,4.517,18.704,0,0.04,0.063,-0.016
1.92,4.509,18.611,0,0.044,0.063,-0.014
1.94,4.518,18.615,0,0.044,0.063,-0.014
1.96,4.664,19.226,0,-0.001,0.063,-0.014
1.98,4.543,18.629,0,0.041,0.063,-0.012
2,4.534,18.55,0,0.047,0.063,-0.012
2.02,4.687,19.196,0,0,0.063,-0.012
2.04,4.568,18.606,0,0.041,0.063,-0.011
2.06,4.558,18.524,0,0.047,0.063,-0.011
2.08,4.712,19.168,0,0,0.063,-0.011
2.1,4.732,19.221,0,-0.004,0.063,-0.011
2.12,4.871,19.821,0,-0.045,0.063,-0.012
2.14,4.888,19.859,0,-0.047,0.063,-0.012
2.16,4.893,19.867,0,-0.044,0.063,-0.014
2.18,4.902,19.869,0,-0.043,0.063,-0.014
2.2,4.917,19.924,0,-0.044,0.063,-0.016
2.22,4.927,19.933,0,-0.044,0.063,-0.016
2.24,4.943,19.986,0,-0.044,0.063,-0.018
2.26,4.953,19.995,0,-0.044,0.063,-0.018
2.28,4.968,20.049,0,-0.044,0.063,-0.019
2.3,4.978,20.06,0,-0.044,0.063,-0.019
2.32,4.854,19.471,0,0.001,0.063,-0.019
2.34,4.996,20.087,0,-0.041,0.063,-0.021
2.36,5.025,20.184,0,-0.047,0.063,-0.021
2.38,4.892,19.555,0,0,0.063,-0.021
2.4,5.032,20.163,0,-0.041,0.063,-0.023
2.42,5.062,20.263,0,-0.047,0.063,-0.023
2.44,4.929,19.637,0,0,0.063,-0.023
2.46,4.929,19.602,0,0.004,0.063,-0.023
2.48,4.95,19.664,0,0,0.063,-0.023
2.5,4.963,19.684,0,0,0.063,-0.023
2.52,4.973,19.693,0,0,0.063,-0.023
2.54,4.983,19.705,0,0,0.063,-0.023
2.56,4.994,19.718,0,0,0.063,-0.023
2.58,5.005,19.73,0,0,0.063,-0.023
2.6,5.015,19.743,0,0,0.063,-0.023
2.62,5.026,19.756,0,0,0.063,-0.023
2.64,5.037,19.768,0,0,0.063,-0.023
2.66,5.047,19.781,0,0,0.063,-0.023
2.68,5.198,20.438,0,-0.044,0.063,-0.024
2.7,5.218,20.49,0,-0.047,0.063,-0.024
2.72,5.083,19.858,0,0.001,0.063,-0.024
2.74,5.084,19.827,0,0.004,0.063,-0.024
2.76,4.966,19.247,0,0.045,0.063,-0.023
2.78,4.969,19.228,0,0.047,0.063,-0.023
2.8,5.125,19.883,0,-0.001,0.063,-0.023
2.82,5.005,19.296,0,0.041,0.063,-0.021
2.84,4.996,19.219,0,0.047,0.063,-0.021
2.86,5.15,19.87,0,0,0.063,-0.021
2.88,5.032,19.286,0,0.041,0.063,-0.019
2.9,5.022,19.209,0,0.047,0.063,-0.019
2.92,5.177,19.858,0,0,0.063,-0.019
2.94,5.198,19.917,0,-0.004,0.063,-0.019
2.96,4.917,18.59,0,0.089,0.063,-0.016
2.98,5.049,19.159,0,0.05,0.063,-0.018
3,5.359,20.502,0,-0.048,0.063,-0.018
3.02,5.244,19.956,0,-0.007,0.063,-0.018
3.04,5.222,19.82,0,0.004,0.063,-0.018
3.06,5.24,19.866,0,0.001,0.063,-0.018
3.08,5.114,19.246,0,0.044,0.063,-0.016
3.1,5.115,19.214,0,0.047,0.063,-0.016
3.12,5.27,19.867,0,-0.001,0.063,-0.016
3.14,5.29,19.92,0,-0.004,0.063,-0.016
3.16,5.289,19.878,0,0,0.063,-0.016
3.18,5.298,19.88,0,0,0.063,-0.016
3.2,5.309,19.892,0,0,0.063,-0.016
3.22,5.319,19.901,0,0,0.063,-0.016
3.24,5.329,19.909,0,0,0.063,-0.016
3.26,5.339,19.918,0,0,0.063,-0.016
3.28,5.349,19.926,0,0,0.063,-0.016
3.3,5.219,19.291,0,0.044,0.063,-0.014
3.32,5.221,19.26,0,0.047,0.063,-0.014
3.34,5.376,19.913,0,-0.001,0.063,-0.014
3.36,5.396,19.965,0,-0.004,0.063,-0.014
3.38,5.395,19.922,0,0,0.063,-0.014
3.4,5.403,19.923,0,0,0.063,-0.014
3.42,5.414,19.934,0,0,0.063,-0.014
3.44,5.424,19.942,0,0,0.063,-0.014
3.46,5.434,19.949,0,0,0.063,-0.014
3.48,5.444,19.956,0,0,0.063,-0.014
3.5,5.454,19.964,0,0,0.063,-0.014
3.52,5.744,21.259,0,-0.089,0.063,-0.018
3.54,5.632,20.701,0,-0.05,0.063,-0.016
3.56,5.342,19.379,0,0.048,0.063,-0.016
3.58,5.618,20.589,0,-0.037,0.063,-0.018
3.6,5.529,20.137,0,-0.006,0.063,-0.016
3.62,5.517,20.069,0,0.003,0.063,-0.018
3.64,5.668,20.704,0,-0.044,0.063,-0.018
3.66,5.555,20.164,0,-0.003,0.063,-0.018
3.68,5.545,20.087,0,0.003,0.063,-0.018
3.7,5.564,20.136,0,0,0.063,-0.018
3.72,5.297,18.868,0,0.089,0.063,-0.014
3.74,5.429,19.439,0,0.05,0.063,-0.016
3.76,5.739,20.777,0,-0.048,0.063,-0.016
3.78,5.623,20.229,0,-0.007,0.063,-0.016
3.8,5.461,19.449,0,0.048,0.063,-0.014
3.82,5.47,19.454,0,0.048,0.063,-0.014
3.84,5.629,20.122,0,-0.001,0.063,-0.014
3.86,4.311,20.234,-0.044,-0.004,0.061,-0.014
3.88,4.086,19.55,-0.047,0.044,0.061,-0.012
3.9,5.486,19.448,0.001,0.048,0.061,-0.012
3.92,7.075,20.037,0.048,-0.001,0.063,-0.012
