Tiempo ,U_YAW,U_PITCH,W_YAW,W_PITCH,YAW,PITCH
0,1.654,22,0,0,0,-0.583
0.02,1.628,22,0,0,0,-0.583
0.04,4.895,22,0.044,0,0.002,-0.583
0.06,8.364,22,0.092,0,0.003,-0.583
0.08,8.431,22,0.091,0,0.005,-0.583
0.1,8.265,22,0.087,0,0.007,-0.583
0.12,8.363,22,0.087,0,0.009,-0.583
0.14,7.896,22,0.087,0.044,0.01,-0.581
0.16,11.868,22,0.132,0.003,0.014,-0.583
0.18,11.662,22,0.135,0.041,0.016,-0.58
0.2,6.497,22,0.087,0.18,0.017,-0.576
0.22,6.292,22,0.083,0.186,0.019,-0.573
0.24,5.609,22,0.087,0.264,0.021,-0.566
0.26,5.092,22,0.088,0.313,0.023,-0.56
0.28,6.419,22,0.087,0.22,0.024,-0.557
0.3,4.849,22,0.087,0.344,0.026,-0.546
0.32,2.951,22,0.087,0.493,0.028,-0.538
0.34,0.964,22,0.043,0.403,0.028,-0.531
0.36,1.1,22,0.04,0.385,0.03,-0.522
0.38,0.03,22,0.043,0.48,0.03,-0.511
0.4,-3.832,20.549,0,0.532,0.03,-0.501
0.42,-0.74,20.431,0.041,0.528,0.031,-0.49
0.44,-0.273,20.171,0.047,0.523,0.031,-0.48
0.46,-0.99,18.349,0.044,0.568,0.033,-0.468
0.48,-2.323,15.017,0.043,0.66,0.033,-0.454
0.5,-2.846,13.025,0.044,0.706,0.035,-0.44
0.52,-3.426,11.101,0.044,0.746,0.035,-0.424
0.54,-5.123,6.282,0.044,0.878,0.037,-0.405
0.56,-5.24,5.356,0.044,0.883,0.037,-0.389
0.58,-3.818,7.493,0.044,0.784,0.038,-0.374
0.6,-3.771,6.903,0.044,0.777,0.038,-0.358
0.62,-4.386,4.494,0.044,0.829,0.04,-0.34
0.64,-4.481,3.577,0.044,0.833,0.04,-0.325
0.66,-7.029,4.023,-0.001,0.785,0.04,-0.309
0.68,-3.935,3.47,0.041,0.781,0.042,-0.293
0.7,-2.976,3.964,0.047,0.741,0.042,-0.279
0.72,-3.063,3.207,0.044,0.738,0.044,-0.264
0.74,-3.189,2.38,0.043,0.742,0.044,-0.25
0.76,-5.172,4.177,-0.001,0.653,0.044,-0.237
0.78,-5.923,2.193,-0.004,0.692,0.044,-0.222
0.8,-2.542,1.453,0.044,0.701,0.045,-0.209
0.82,-1.107,3.487,0.048,0.61,0.045,-0.197
0.84,-4.463,2.856,-0.001,0.603,0.045,-0.185
0.86,-4.218,3.383,-0.004,0.566,0.045,-0.175
0.88,-2.749,5.596,0,0.475,0.045,-0.166
0.9,2.403,9.506,0.045,0.339,0.047,-0.161
0.92,1.387,6.287,0.047,0.427,0.047,-0.148
0.94,-2.848,3.974,-0.001,0.488,0.047,-0.141
0.96,-0.653,8.998,-0.004,0.307,0.047,-0.136
0.98,0.43,10.54,0,0.246,0.047,-0.131
1,0.919,11.372,0,0.213,0.047,-0.127
1.02,1.462,12.435,0,0.171,0.047,-0.124
1.04,2.062,13.685,0,0.127,0.047,-0.122
1.06,2.662,14.92,0,0.083,0.047,-0.12
1.08,3.262,16.254,0,0.039,0.047,-0.12
1.1,3.862,17.588,0,-0.004,0.047,-0.12
1.12,3.866,17.625,0,-0.003,0.047,-0.12
1.14,3.23,16.175,0,0.045,0.047,-0.119
1.16,3.805,17.551,0,0.003,0.047,-0.12
1.18,5.106,20.506,0,-0.092,0.047,-0.122
1.2,5.763,22,0,-0.139,0.047,-0.126
1.22,9.009,22,0.044,-0.135,0.049,-0.127
1.24,9.18,22,0.047,-0.13,0.049,-0.131
1.26,9.691,22,0.044,-0.175,0.051,-0.134
1.28,9.126,22,0.043,-0.134,0.051,-0.136
1.3,5.927,22,-0.001,-0.127,0.051,-0.14
1.32,8.479,22,0.041,-0.086,0.052,-0.14
1.34,8.922,22,0.047,-0.084,0.052,-0.143
1.36,6.212,22,0,-0.132,0.052,-0.145
1.38,4.825,21.244,-0.004,-0.046,0.052,-0.145
1.4,4.98,21.162,0,-0.037,0.052,-0.147
1.42,8.41,21.598,0.045,-0.043,0.054,-0.147
1.44,8.63,21.821,0.047,-0.044,0.054,-0.148
1.46,1.941,21.536,-0.045,-0.044,0.052,-0.148
1.48,0.923,20.286,-0.051,0.001,0.052,-0.148
1.5,3.966,19.056,0,0.048,0.052,-0.147
1.52,3.659,17.756,0.004,0.092,0.052,-0.145
1.54,2.799,16.333,0,0.135,0.052,-0.141
1.56,2.78,16.318,0,0.134,0.052,-0.14
1.58,-0.437,16.106,-0.044,0.131,0.051,-0.136
1.6,-0.622,16.061,-0.047,0.131,0.051,-0.134
1.62,2.78,16.076,0.001,0.131,0.051,-0.131
1.64,3.024,16.045,0.004,0.131,0.051,-0.129
1.66,2.766,15.883,0,0.131,0.051,-0.126
1.68,2.741,15.838,0,0.131,0.051,-0.124
1.7,2.164,14.282,0,0.175,0.051,-0.119
1.72,2.742,15.557,0,0.134,0.051,-0.119
1.74,6.72,17.059,0.044,0.083,0.052,-0.115
1.76,5.733,14.313,0.047,0.172,0.052,-0.112
1.78,2.806,15.103,-0.001,0.137,0.052,-0.11
1.8,3.308,16.616,-0.004,0.084,0.052,-0.108
1.82,3.592,16.595,0,0.083,0.052,-0.107
1.84,6.874,16.591,0.045,0.087,0.054,-0.105
1.86,7.065,16.538,0.047,0.088,0.054,-0.103
1.88,3.675,16.323,-0.001,0.087,0.054,-0.101
1.9,4.057,17.663,-0.004,0.043,0.054,-0.101
1.92,4.974,19.108,0,-0.004,0.054,-0.101
1.94,7.71,17.914,0.045,0.041,0.056,-0.1
1.96,7.821,17.778,0.047,0.047,0.056,-0.1
1.98,5.073,19.052,-0.001,0,0.056,-0.1
2,4.907,19.197,-0.004,-0.004,0.056,-0.1
2.02,5.141,19.154,0,0,0.056,-0.1
2.04,4.587,17.788,0,0.045,0.056,-0.098
2.06,4.552,17.762,0,0.047,0.056,-0.098
2.08,5.21,19.213,0,-0.001,0.056,-0.098
2.1,6.477,22,0,-0.093,0.056,-0.101
2.12,5.921,20.875,0,-0.05,0.056,-0.1
2.14,4.609,18.031,0,0.049,0.056,-0.1
2.16,5.186,19.296,0,0.007,0.056,-0.1
2.18,5.951,21.068,0,-0.048,0.056,-0.101
2.2,5.971,21.124,0,-0.048,0.056,-0.101
2.22,5.333,19.746,0,0.001,0.056,-0.101
2.24,5.309,19.707,0,0.004,0.056,-0.101
2.26,5.379,19.871,0,0,0.056,-0.101
2.28,5.405,19.938,0,0,0.056,-0.101
2.3,2.128,19.807,-0.044,0,0.054,-0.101
2.32,2.544,21.252,-0.047,-0.044,0.054,-0.103
2.34,6.003,21.559,0.001,-0.047,0.054,-0.103
2.36,5.613,20.225,0.004,0.001,0.054,-0.103
2.38,4.721,18.764,0,0.048,0.054,-0.101
2.4,4.113,17.435,0,0.092,0.054,-0.1
2.42,4.762,18.818,0,0.046,0.054,-0.1
2.44,8.158,19.127,0.044,0.04,0.056,-0.098
2.46,8.334,19.091,0.047,0.043,0.056,-0.098
2.48,4.934,18.843,-0.001,0.044,0.056,-0.096
2.5,4.12,17.483,-0.004,0.088,0.056,-0.094
2.52,1.069,17.183,-0.045,0.091,0.054,-0.093
2.54,0.963,17.217,-0.047,0.087,0.054,-0.091
2.56,4.967,18.744,0.001,0.043,0.054,-0.091
2.58,5.246,18.772,0.004,0.04,0.054,-0.089
2.6,4.353,17.299,0,0.088,0.054,-0.087
2.62,4.287,17.14,0,0.091,0.054,-0.086
2.64,4.971,18.592,0,0.043,0.054,-0.086
2.66,5.636,20.033,0,-0.005,0.054,-0.086
2.68,5.04,18.648,0,0.041,0.054,-0.084
2.7,4.966,18.493,0,0.047,0.054,-0.084
2.72,5.024,18.526,0,0.044,0.054,-0.082
2.74,5.053,18.592,0,0.043,0.054,-0.082
2.76,5.064,18.522,0,0.044,0.054,-0.08
2.78,5.082,18.563,0,0.044,0.054,-0.08
2.8,5.698,19.904,0,-0.001,0.054,-0.08
2.82,8.445,18.8,0.044,0.041,0.056,-0.079
2.84,8.583,18.668,0.047,0.047,0.056,-0.079
2.86,5.836,19.925,-0.001,0,0.056,-0.079
2.88,2.377,19.885,-0.048,-0.004,0.054,-0.079
2.9,2.409,19.823,-0.047,0,0.054,-0.079
2.92,5.86,20.022,0.001,0,0.054,-0.079
2.94,6.097,20.082,0.004,0,0.054,-0.079
2.96,5.248,18.708,0,0.044,0.054,-0.077
2.98,5.193,18.664,0,0.047,0.054,-0.077
3,5.875,20.104,0,-0.001,0.054,-0.077
3.02,5.943,20.242,0,-0.004,0.054,-0.077
3.04,5.91,20.175,0,0,0.054,-0.077
3.06,5.922,20.201,0,0,0.054,-0.077
3.08,5.945,20.25,0,0,0.054,-0.077
3.1,5.965,20.293,0,0,0.054,-0.077
3.12,5.382,18.929,0,0.044,0.054,-0.075
3.14,5.363,18.886,0,0.047,0.054,-0.075
3.16,6.025,20.325,0,-0.001,0.054,-0.075
3.18,6.088,20.462,0,-0.004,0.054,-0.075
3.2,6.058,20.394,0,0,0.054,-0.075
3.22,6.07,20.419,0,0,0.054,-0.075
3.24,5.491,19.063,0,0.044,0.054,-0.073
3.26,5.473,19.021,0,0.047,0.054,-0.073
3.28,5.534,19.055,0,0.044,0.054,-0.072
3.3,5.559,19.106,0,0.043,0.054,-0.072
3.32,4.968,17.626,0,0.088,0.054,-0.068
3.34,5.55,18.983,0,0.046,0.054,-0.07
3.36,6.848,21.802,0,-0.049,0.054,-0.07
3.38,5.705,19.216,0,0.037,0.054,-0.068
3.4,5.546,18.864,0,0.051,0.054,-0.068
3.42,5.643,18.976,0,0.045,0.054,-0.066
3.44,5.683,19.056,0,0.043,0.054,-0.066
3.46,6.293,20.378,0,-0.001,0.054,-0.066
3.48,5.748,19.088,0,0.041,0.054,-0.065
3.5,5.683,18.94,0,0.047,0.054,-0.065
3.52,6.34,20.362,0,0,0.054,-0.065
3.54,5.805,19.097,0,0.041,0.054,-0.063
3.56,5.136,17.537,0,0.091,0.054,-0.061
3.58,5.754,18.871,0,0.047,0.054,-0.061
3.6,5.863,19.004,0,0.04,0.054,-0.059
3.62,5.84,18.944,0,0.043,0.054,-0.059
3.64,6.445,20.252,0,-0.001,0.054,-0.059
3.66,5.905,18.97,0,0.041,0.054,-0.058
3.68,5.841,18.82,0,0.047,0.054,-0.058
3.7,6.498,20.238,0,0,0.054,-0.058
3.72,6.565,20.374,0,-0.004,0.054,-0.058
3.74,5.934,18.895,0,0.044,0.054,-0.056
3.76,5.909,18.828,0,0.048,0.054,-0.056
3.78,6.576,20.267,0,-0.001,0.054,-0.056
3.8,6.039,18.992,0,0.04,0.054,-0.054
3.82,5.971,18.831,0,0.047,0.054,-0.054
3.84,6.627,20.245,0,0,0.054,-0.054
3.86,6.093,18.976,0,0.041,0.054,-0.052
3.88,2.734,18.641,-0.044,0.047,0.052,-0.052
3.9,3.188,20.045,-0.047,0,0.052,-0.052
3.92,6.658,20.349,0.001,-0.004,0.052,-0.052
3.94,5.659,17.475,0.004,0.089,0.052,-0.049
3.96,5.933,18.713,0,0.05,0.052,-0.051
3.98,7.244,21.629,0,-0.048,0.052,-0.051
4,6.729,20.455,0,-0.007,0.052,-0.051
4.02,6.007,18.765,0,0.048,0.052,-0.049
4.04,6.024,18.789,0,0.048,0.052,-0.049
4.06,6.7,20.247,0,-0.001,0.052,-0.049
4.08,6.16,18.963,0,0.04,0.052,-0.047
4.1,6.09,18.796,0,0.047,0.052,-0.047
4.12,6.746,20.208,0,0,0.052,-0.047
4.14,6.814,20.34,0,-0.004,0.052,-0.047
4.16,6.183,18.856,0,0.044,0.052,-0.045
4.18,6.157,18.784,0,0.048,0.052,-0.045
4.2,6.824,20.217,0,-0.001,0.052,-0.045
4.22,6.287,18.938,0,0.04,0.052,-0.044
4.24,6.218,18.771,0,0.047,0.052,-0.044
4.26,3.582,20.007,-0.044,0,0.051,-0.044
4.28,2.846,18.722,-0.047,0.041,0.051,-0.042
4.3,6.18,18.727,0.001,0.047,0.051,-0.042
4.32,7.07,20.148,0.004,0,0.051,-0.042
4.34,6.873,20.264,0,-0.004,0.051,-0.042
4.36,6.807,20.18,0,0,0.051,-0.042
4.38,6.237,18.786,0,0.045,0.051,-0.04
4.4,6.226,18.735,0,0.047,0.051,-0.04
4.42,6.887,20.16,0,-0.001,0.051,-0.04
4.44,6.95,20.28,0,-0.004,0.051,-0.04
4.46,3.627,20.02,-0.044,0,0.049,-0.04
4.48,2.234,17.21,-0.047,0.089,0.049,-0.037
4.5,6.184,18.649,0.001,0.05,0.049,-0.038
4.52,7.762,21.567,0.004,-0.049,0.049,-0.038
4.54,6.962,20.37,0,-0.007,0.049,-0.038
4.56,6.801,20.078,0,0.004,0.049,-0.038
4.58,6.875,20.181,0,0.001,0.049,-0.038
4.6,6.912,20.235,0,0,0.049,-0.038
4.62,6.325,18.849,0,0.044,0.049,-0.037
4.64,6.304,18.786,0,0.047,0.049,-0.037
4.66,6.966,20.207,0,-0.001,0.049,-0.037
4.68,3.135,18.747,-0.044,0.041,0.047,-0.035
4.7,2.863,18.566,-0.047,0.047,0.047,-0.035
4.72,6.92,20.142,0.001,0,0.047,-0.035
4.74,7.22,20.28,0.004,-0.004,0.047,-0.035
4.76,6.926,20.181,0,0,0.047,-0.035
4.78,6.9,20.185,0,0,0.047,-0.035
4.8,6.34,18.811,0,0.044,0.047,-0.033
4.82,6.325,18.75,0,0.047,0.047,-0.033
4.84,6.984,20.169,0,-0.001,0.047,-0.033
4.86,7.046,20.286,0,-0.004,0.047,-0.033
4.88,7.014,20.198,0,0,0.047,-0.033
4.9,3.734,20.029,-0.044,0,0.045,-0.033
4.92,2.349,17.238,-0.047,0.089,0.045,-0.03
4.94,6.296,18.668,0.001,0.05,0.045,-0.031
4.96,7.871,21.579,0.004,-0.048,0.045,-0.031
4.98,7.07,20.379,0,-0.007,0.045,-0.031
5,6.908,20.084,0,0.004,0.045,-0.031
5.02,6.981,20.183,0,0.001,0.045,-0.031
5.04,5.813,17.424,0,0.089,0.045,-0.028
5.06,6.353,18.676,0,0.05,0.045,-0.03
5.08,7.693,21.573,0,-0.048,0.045,-0.03
5.1,7.156,20.386,0,-0.007,0.045,-0.03
5.12,7.029,20.092,0,0.004,0.045,-0.03
5.14,7.083,20.189,0,0.001,0.045,-0.03
5.16,7.115,20.239,0,0,0.045,-0.03
5.18,7.13,20.253,0,0,0.045,-0.03
5.2,2.652,17.285,-0.044,0.089,0.044,-0.026
5.22,2.992,18.531,-0.047,0.05,0.044,-0.028
5.24,7.735,21.6,0.001,-0.048,0.044,-0.028
5.26,7.432,20.424,0.004,-0.007,0.044,-0.028
5.28,6.44,18.71,0,0.048,0.044,-0.026
5.3,6.419,18.721,0,0.048,0.044,-0.026
