Tiempo ,CONTROL,VELOCIDA,REFERENC
,,,
-0.1,0,0,0
-0.095,0,0,0
-0.09,0,0,0
-0.085,0,0,0
-0.08,0,0,0
-0.075,0,0,0
-0.07,0,0,0
-0.065,0,0,0
-0.06,0,0,0
-0.055,0,0,0
-0.05,0,0,0
-0.045,0,0,0
-0.04,0,0,0
-0.035,0,0,0
-0.03,0,0,0
-0.025,0,0,0
-0.02,0,0,0
-0.015,0,0,0
-0.01,0,0,0
-0.005,0,0,0
0,0.002,-0.003,0
0.005,-0.007,0.008,0
0.01,0.002,-0.003,0
0.015,0.005,-0.005,0
0.02,0.003,-0.003,0
0.025,0.003,-0.003,0
0.03,0.003,-0.003,0
0.035,0.003,-0.003,0
0.04,0.001,0,0
0.045,0.001,0,0
0.05,0.003,-0.003,0
0.055,0.003,-0.003,0
0.06,0.001,0,0
0.065,0.001,0,0
0.07,0.004,-0.003,0
0.075,0.004,-0.003,0
0.08,0.001,0,0
0.085,0.004,-0.003,0
0.09,0.004,-0.003,0
0.095,0.004,-0.003,0
0.1,0.002,0,0
0.105,0.004,-0.003,0
0.11,0.004,-0.003,0
0.115,0.002,0,0
0.12,0.002,0,0
0.125,0.005,-0.003,0
0.13,0.005,-0.003,0
0.135,0.005,-0.003,0
0.14,0.003,0,0
0.145,0.005,-0.003,0
0.15,0.005,-0.003,0
0.155,0.003,0,0
0.16,0.003,0,0
0.165,0.005,-0.003,0
0.17,0.003,0,0
0.175,0.001,0.003,0
0.18,0.005,-0.003,0
0.185,0.005,-0.003,0
0.19,0.003,0,0
0.195,0.001,0.003,0
0.2,0.005,-0.003,0
0.205,0.006,-0.003,0
0.21,0.003,0,0
0.215,0.003,0,0
0.22,0.003,0,0
0.225,0.003,0,0
0.23,0.003,0,0
0.235,0.003,0,0
0.24,0.003,0,0
0.245,0.003,0,0
0.25,0.003,0,0
0.255,0.003,0,0
0.26,0.006,-0.003,0
0.265,0.003,0,0
0.27,0.001,0.003,0
0.275,0.003,0,0
0.28,0.003,0,0
0.285,0.003,0,0
0.29,0.001,0.003,0
0.295,0.001,0.003,0
0.3,0.005,-0.003,0
0.305,0.001,0.003,0
0.31,0.001,0.003,0
0.315,0.003,0,0
0.32,0.003,0,0
0.325,0,0.003,0
0.33,0,0.003,0
0.335,0,0.003,0
0.34,0,0.003,0
0.345,-0.003,0.005,0
0.35,-0.001,0.003,0
0.355,-0.001,0.003,0
0.36,-0.001,0.003,0
0.365,-0.003,0.005,0
0.37,-0.001,0.003,0
0.375,-0.001,0.003,0
0.38,-0.004,0.005,0
0.385,-0.007,0.008,0
0.39,-0.002,0.003,0
0.395,0,0,0
0.4,-0.002,0.003,0
0.405,-0.008,0.008,0
0.41,-0.006,0.005,0
0.415,-0.003,0.003,0
0.42,-0.006,0.005,0
0.425,-0.009,0.008,0
0.43,-0.004,0.003,0
0.435,-0.004,0.003,0
0.44,-0.007,0.005,0
0.445,-0.01,0.008,0
0.45,-0.008,0.005,0
0.455,-0.008,0.005,0
0.46,-0.011,0.008,0
0.465,-0.011,0.008,0
0.47,-0.009,0.005,0
0.475,-0.012,0.008,0
0.48,-0.013,0.008,0
0.485,-0.013,0.008,0
0.49,-0.008,0.003,0
0.495,-0.011,0.005,0
0.5,-0.014,0.008,0
0.505,-0.014,0.008,0
0.51,-0.012,0.005,0
0.515,-0.015,0.008,0
0.52,-0.016,0.008,0
0.525,-0.016,0.008,0
0.53,-0.016,0.008,0
0.535,-0.019,0.01,0
0.54,-0.02,0.01,0
0.545,-0.018,0.008,0
0.55,-0.019,0.008,0
0.555,-0.022,0.01,0
0.56,-0.022,0.01,0
0.565,-0.02,0.008,0
0.57,-0.023,0.01,0
0.575,-0.026,0.012,0
0.58,-0.025,0.01,0
0.585,-0.023,0.008,0
0.59,-0.026,0.01,0
0.595,-0.029,0.012,0
0.6,-0.027,0.01,0
0.605,-0.025,0.008,0
0.61,-0.033,0.015,0
0.615,-0.031,0.012,0
0.62,-0.03,0.01,0
0.625,-0.03,0.01,0
0.63,-0.033,0.012,0
0.635,-0.034,0.012,0
0.64,-0.035,0.012,0
0.645,-0.036,0.012,0
0.65,-0.039,0.015,0
0.655,-0.037,0.012,0
0.66,-0.035,0.01,0
0.665,-0.036,0.01,0
0.67,-0.042,0.015,0
0.675,-0.04,0.012,0
0.68,-0.041,0.012,0
0.685,-0.044,0.015,0
0.69,-0.047,0.018,0
0.695,-0.046,0.015,0
0.7,-0.042,0.01,0
0.705,-0.048,0.015,0
0.71,-0.048,0.015,0
0.715,-0.049,0.015,0
0.72,-0.048,0.012,0
0.725,-0.053,0.018,0
0.73,-0.055,0.018,0
0.735,-0.053,0.015,0
0.74,-0.054,0.015,0
0.745,-0.057,0.018,0
0.75,-0.058,0.018,0
0.755,-0.057,0.015,0
0.76,-0.06,0.018,0
0.765,-0.061,0.018,0
0.77,-0.062,0.018,0
0.775,-0.059,0.012,0
0.78,-0.062,0.015,0
0.785,-0.068,0.02,0
0.79,-0.066,0.018,0
0.795,-0.065,0.015,0
0.8,-0.068,0.018,0
0.805,-0.072,0.02,0
0.81,-0.071,0.018,0
0.815,-0.069,0.015,0
0.82,-0.073,0.018,0
0.825,-0.076,0.02,0
0.83,-0.075,0.018,0
0.835,-0.076,0.018,0
0.84,-0.079,0.02,0
0.845,-0.081,0.02,0
0.85,-0.079,0.018,0
0.855,-0.08,0.018,0
0.86,-0.084,0.02,0
0.865,-0.085,0.02,0
0.87,-0.084,0.018,0
0.875,-0.087,0.02,0
0.88,-0.089,0.02,0
0.885,-0.09,0.02,0
0.89,-0.088,0.018,0
0.895,-0.092,0.02,0
0.9,-0.093,0.02,0
0.905,-0.094,0.02,0
0.91,-0.093,0.018,0
0.915,-0.099,0.022,0
0.92,-0.1,0.022,0
0.925,-0.099,0.02,0
0.93,-0.101,0.02,0
0.935,-0.104,0.022,0
0.94,-0.106,0.022,0
0.945,-0.104,0.02,0
0.95,-0.106,0.02,0
0.955,-0.109,0.022,0
0.96,-0.113,0.025,0
0.965,-0.11,0.02,0
0.97,-0.113,0.022,0
0.975,-0.117,0.025,0
0.98,-0.116,0.022,0
0.985,-0.115,0.02,0
0.99,-0.119,0.022,0
0.995,-0.12,0.022,0
1,3.869,0.022,4
1.005,3.658,0.472,4
1.01,3.476,0.868,4
1.015,3.377,1.155,4
1.02,3.286,1.417,4
1.025,3.254,1.605,4
1.03,3.278,1.725,4
1.035,3.28,1.86,4
1.04,3.256,2.013,4
1.045,3.32,2.068,4
1.05,3.274,2.23,4
1.055,3.316,2.295,4
1.06,3.348,2.365,4
1.065,3.304,2.508,4
1.07,3.349,2.553,4
1.075,3.348,2.64,4
1.08,3.41,2.66,4
1.085,3.336,2.815,4
1.09,3.432,2.79,4
1.095,3.365,2.93,4
1.1,3.389,2.97,4
1.105,3.366,3.055,4
1.11,3.438,3.04,4
1.115,3.406,3.13,4
1.12,3.41,3.178,4
1.125,3.442,3.195,4
1.13,3.376,3.31,4
1.135,3.387,3.34,4
1.14,3.35,3.418,4
1.145,3.404,3.398,4
1.15,3.403,3.435,4
1.155,3.36,3.512,4
1.16,3.414,3.487,4
1.165,3.375,3.557,4
1.17,3.349,3.61,4
1.175,3.392,3.59,4
1.18,3.345,3.663,4
1.185,3.335,3.693,4
1.19,3.361,3.685,4
1.195,3.328,3.737,4
1.2,3.298,3.783,4
1.205,3.356,3.737,4
1.21,3.342,3.767,4
1.215,3.266,3.858,4
1.22,3.29,3.842,4
1.225,3.309,3.832,4
1.23,3.225,3.928,4
1.235,3.236,3.92,4
1.24,3.286,3.875,4
1.245,3.249,3.92,4
1.25,3.224,3.95,4
1.255,3.259,3.918,4
1.26,3.269,3.913,4
1.265,3.172,4.015,4
1.27,3.174,4.012,4
1.275,3.223,3.963,4
1.28,3.173,4.015,4
1.285,3.132,4.055,4
1.29,3.168,4.015,4
1.295,3.19,3.993,4
1.3,3.138,4.045,4
1.305,3.133,4.047,4
1.31,3.145,4.033,4
1.315,3.14,4.035,4
1.32,3.059,4.115,4
1.325,3.082,4.085,4
1.33,3.141,4.02,4
1.335,3.145,4.015,4
1.34,3.042,4.117,4
1.345,3.025,4.128,4
1.35,3.072,4.072,4
1.355,3.09,4.05,4
1.36,3.04,4.098,4
1.365,3.022,4.11,4
1.37,3.035,4.09,4
1.375,3.047,4.072,4
1.38,3.018,4.098,4
1.385,3.014,4.095,4
1.39,3.031,4.072,4
1.395,2.992,4.108,4
1.4,2.968,4.125,4
1.405,3.008,4.078,4
1.41,3.038,4.043,4
1.415,2.968,4.11,4
1.42,2.929,4.142,4
1.425,2.988,4.075,4
1.43,3.013,4.045,4
1.435,2.956,4.1,4
1.44,2.915,4.135,4
1.445,2.954,4.088,4
1.45,2.996,4.04,4
1.455,2.939,4.095,4
1.46,2.898,4.13,4
1.465,2.92,4.1,4
1.47,2.962,4.053,4
1.475,2.926,4.085,4
1.48,2.906,4.1,4
1.485,2.913,4.088,4
1.49,2.935,4.06,4
1.495,2.896,4.095,4
1.5,2.901,4.085,4
1.505,2.916,4.065,4
1.51,2.917,4.06,4
1.515,2.851,4.122,4
1.52,2.893,4.072,4
1.525,2.934,4.027,4
1.53,2.927,4.033,4
1.535,2.845,4.113,4
1.54,2.849,4.102,4
1.545,2.91,4.035,4
1.55,2.935,4.008,4
1.555,2.88,4.062,4
1.56,2.864,4.075,4
1.565,2.881,4.053,4
1.57,2.881,4.05,4
1.575,2.863,4.065,4
1.58,2.896,4.027,4
1.585,2.947,3.975,4
1.59,2.891,4.033,4
1.595,2.852,4.07,4
1.6,2.875,4.043,4
1.605,2.897,4.017,4
1.61,2.852,4.062,4
1.615,2.878,4.033,4
1.62,2.918,3.99,4
1.625,2.914,3.995,4
1.63,2.837,4.072,4
1.635,2.83,4.075,4
1.64,2.888,4.012,4
1.645,2.897,4.003,4
1.65,2.869,4.03,4
1.655,2.888,4.01,4
1.66,2.917,3.98,4
1.665,2.873,4.025,4
1.67,2.844,4.053,4
1.675,2.889,4.005,4
