Tiempo ,CORRIENTE,VELOCIDAD,ENTRADA
,,,
-0.2,0,0,0
-0.19,0,0,0
-0.18,0,0,0
-0.17,0,0,0
-0.16,0,0,0
-0.15,0,0,0
-0.14,0,0,0
-0.13,0,0,0
-0.12,0,0,0
-0.11,0,0,0
-0.1,0,0,0
-0.09,0,0,0
-0.08,0,0,0
-0.07,0,0,0
-0.06,0,0,0
-0.05,0,0,0
-0.04,0,0,0
-0.03,0,0,0
-0.02,0,0,0
-0.01,0,0,0
0,-0.004,-0.003,0
0.01,-0.001,0.02,0
0.02,-0.003,-0.003,0
0.03,-0.003,0,0
0.04,-0.003,0,0
0.05,-0.003,0,0
0.06,-0.002,0,0
0.07,-0.003,0,0
0.08,-0.002,0,0
0.09,-0.002,0.003,0
0.1,-0.003,-0.003,0
0.11,-0.003,0,0
0.12,-0.002,-0.003,0
0.13,-0.002,0.003,0
0.14,-0.002,-0.003,0
0.15,-0.002,0.003,0
0.16,-0.002,0,0
0.17,-0.002,0.003,0
0.18,-0.002,0,0
0.19,-0.002,0.003,0
0.2,-0.002,0.003,0
0.21,-0.002,0.003,0
0.22,-0.002,0,0
0.23,-0.002,0.003,0
0.24,-0.003,0.003,0
0.25,-0.002,0.003,0
0.26,-0.002,0.003,0
0.27,-0.002,0.003,0
0.28,-0.002,0.003,0
0.29,-0.002,0.003,0
0.3,-0.003,0.005,0
0.31,-0.002,0.003,0
0.32,-0.002,0.005,0
0.33,-0.002,0,0
0.34,-0.002,0.008,0
0.35,-0.002,0.003,0
0.36,-0.002,0.005,0
0.37,-0.002,0.003,0
0.38,-0.002,0.008,0
0.39,-0.002,0.005,0
0.4,-0.002,0.008,0
0.41,-0.002,0.008,0
0.42,-0.002,0.008,0
0.43,-0.002,0.005,0
0.44,-0.002,0.008,0
0.45,-0.002,0.005,0
0.46,-0.001,0.008,0
0.47,-0.002,0.008,0
0.48,-0.002,0.005,0
0.49,-0.002,0.01,0
0.5,-0.002,0.008,0
0.51,-0.002,0.008,0
0.52,0.567,0.045,3
0.53,0.502,0.775,3
0.54,0.461,1.235,3
0.55,0.443,1.567,3
0.56,0.411,1.797,3
0.57,0.414,1.985,3
0.58,0.38,2.207,3
0.59,0.364,2.335,3
0.6,0.354,2.473,3
0.61,0.333,2.573,3
0.62,0.324,2.673,3
0.63,0.313,2.765,3
0.64,0.296,2.88,3
0.65,0.291,2.95,3
0.66,0.278,3.075,3
0.67,0.295,3.142,3
0.68,0.279,3.223,3
0.69,0.298,3.253,3
0.7,0.262,3.262,3
0.71,0.25,3.35,3
0.72,0.272,3.412,3
0.73,0.283,3.477,3
0.74,0.236,3.483,3
0.75,0.238,3.54,3
0.76,0.262,3.6,3
0.77,0.257,3.575,3
0.78,0.228,3.605,3
0.79,0.252,3.705,3
0.8,0.252,3.675,3
0.81,0.223,3.7,3
0.82,0.242,3.765,3
0.83,0.215,3.742,3
0.84,0.218,3.775,3
0.85,0.264,3.848,3
0.86,0.211,3.807,3
0.87,0.238,3.848,3
0.88,0.228,3.81,3
0.89,0.216,3.855,3
0.9,0.261,3.925,3
0.91,0.211,3.887,3
0.92,0.24,3.943,3
0.93,0.2,3.902,3
0.94,0.21,3.97,3
0.95,0.249,3.955,3
0.96,0.211,3.943,3
0.97,0.245,3.995,3
0.98,0.208,3.935,3
0.99,0.225,3.983,3
1,0.199,3.913,3
1.01,0.231,3.985,3
1.02,0.199,3.947,3
1.03,0.205,4.027,3
1.04,0.238,3.993,3
1.05,0.206,3.985,3
1.06,0.257,4,3
1.07,0.213,3.977,3
1.08,0.218,4.057,3
1.09,0.199,3.997,3
1.1,0.218,4.035,3
1.11,0.192,3.96,3
1.12,0.233,4.06,3
1.13,0.197,4,3
1.14,0.231,4.03,3
1.15,0.194,3.983,3
1.16,0.205,4.075,3
1.17,0.227,4.02,3
1.18,0.199,4.03,3
1.19,0.246,4.04,3
1.2,0.207,4.053,3
1.21,0.257,4.053,3
1.22,0.196,4.017,3
1.23,0.228,4.092,3
1.24,0.203,4.008,3
1.25,0.209,4.072,3
1.26,0.19,4.043,3
1.27,0.222,4.078,3
1.28,0.19,4.012,3
1.29,0.234,4.092,3
1.3,0.194,4.023,3
1.31,0.229,4.062,3
1.32,0.189,4.04,3
1.33,0.227,4.08,3
1.34,0.194,4.005,3
1.35,0.205,4.113,3
1.36,0.212,4.035,3
1.37,0.195,4.075,3
1.38,0.228,4.075,3
1.39,0.199,4.055,3
1.4,0.24,4.06,3
1.41,0.203,4.07,3
1.42,0.248,4.075,3
1.43,0.194,4.053,3
1.44,0.249,4.102,3
1.45,0.188,4.023,3
1.46,0.21,4.117,3
1.47,0.193,4.047,3
1.48,0.205,4.088,3
1.49,0.187,4.065,3
1.5,0.209,4.095,3
1.51,0.183,4.062,3
1.52,0.22,4.117,3
1.53,0.182,4.027,3
1.54,0.221,4.12,3
1.55,0.189,4.037,3
1.56,0.218,4.122,3
1.57,0.184,4.065,3
1.58,0.137,4.115,3
1.59,0.188,4.075,3
1.6,0.219,4.125,3
1.61,0.185,4.085,3
1.62,0.135,4.117,3
1.63,0.184,4.1,3
1.64,0.14,4.128,3
1.65,0.177,4.117,3
1.66,0.133,4.153,3
1.67,0.182,4.108,3
1.68,0.134,4.182,3
1.69,0.173,4.102,3
1.7,0.14,4.195,3
1.71,0.168,4.128,3
1.72,0.148,4.188,3
1.73,0.165,4.17,3
1.74,0.146,4.177,3
1.75,0.168,4.17,3
1.76,0.15,4.222,3
1.77,0.154,4.148,3
1.78,0.16,4.227,3
1.79,0.149,4.173,3
1.8,0.159,4.188,3
1.81,0.147,4.182,3
1.82,0.159,4.195,3
1.83,0.137,4.182,3
1.84,0.167,4.182,3
1.85,0.14,4.24,3
1.86,0.159,4.157,3
1.87,0.132,4.22,3
1.88,0.168,4.198,3
1.89,0.184,4.218,3
1.9,0.167,4.137,3
1.91,0.149,4.225,3
1.92,0.162,4.188,3
1.93,0.137,4.215,3
1.94,0.162,4.188,3
1.95,0.148,4.253,3
1.96,0.145,4.17,3
1.97,0.198,4.207,3
1.98,0.148,4.205,3
1.99,0.165,4.2,3
2,0.146,4.195,3
2.01,-0.454,4.148,0
2.02,-0.379,3.408,0
2.03,-0.333,2.968,0
2.04,-0.294,2.622,0
2.05,-0.264,2.335,0
2.06,-0.236,2.13,0
2.07,-0.218,1.953,0
2.08,-0.21,1.82,0
2.09,-0.184,1.647,0
2.1,-0.175,1.532,0
2.11,-0.159,1.42,0
2.12,-0.15,1.298,0
2.13,-0.136,1.207,0
2.14,-0.13,1.12,0
2.15,-0.113,1.013,0
2.16,-0.108,0.962,0
2.17,-0.103,0.892,0
2.18,-0.087,0.798,0
2.19,-0.086,0.745,0
2.2,-0.078,0.69,0
2.21,-0.069,0.615,0
2.22,-0.062,0.565,0
2.23,-0.056,0.515,0
2.24,-0.053,0.483,0
2.25,-0.05,0.442,0
2.26,-0.046,0.405,0
2.27,-0.04,0.36,0
2.28,-0.035,0.315,0
2.29,-0.031,0.285,0
2.3,-0.028,0.255,0
2.31,-0.025,0.215,0
2.32,-0.02,0.19,0
2.33,-0.016,0.155,0
2.34,-0.013,0.132,0
2.35,-0.01,0.103,0
2.36,-0.007,0.078,0
2.37,-0.005,0.05,0
2.38,-0.001,0.03,0
2.39,-0.001,0.02,0
2.4,-0.001,0.025,0
2.41,-0.001,0.02,0
2.42,-0.001,0.022,0
2.43,-0.001,0.02,0
2.44,-0.001,0.022,0
2.45,-0.001,0.022,0
2.46,-0.001,0.02,0
2.47,-0.001,0.022,0
2.48,-0.002,0.02,0
2.49,-0.001,0.022,0
2.5,-0.001,0.02,0
2.51,-0.002,0.02,0
2.52,-0.001,0.02,0
2.53,-0.001,0.022,0
2.54,-0.001,0.02,0
2.55,-0.002,0.02,0
2.56,-0.002,0.02,0
2.57,-0.001,0.02,0
2.58,-0.001,0.018,0
2.59,-0.001,0.02,0
2.6,-0.002,0.02,0
2.61,-0.002,0.02,0
