Tiempo ,ESTIMULO,ANGULO
0,0,-0.086
0.02,0,-0.086
0.04,0,-0.086
0.06,0,-0.086
0.08,0,-0.086
0.1,0,-0.086
0.12,0,-0.086
0.14,0,-0.086
0.16,0,-0.086
0.18,0,-0.086
0.2,0,-0.086
0.22,0,-0.086
0.24,0,-0.086
0.26,0,-0.086
0.28,0,-0.086
0.3,0,-0.086
0.32,0,-0.086
0.34,0,-0.086
0.36,0,-0.086
0.38,0,-0.086
0.4,0,-0.086
0.42,0,-0.086
0.44,0,-0.086
0.46,0,-0.086
0.48,0,-0.086
0.5,0,-0.086
0.52,0,-0.086
0.54,0,-0.086
0.56,0,-0.086
0.58,0,-0.086
0.6,0,-0.086
0.62,0,-0.086
0.64,0,-0.086
0.66,0,-0.086
0.68,0,-0.086
0.7,0,-0.086
0.72,0,-0.086
0.74,0,-0.086
0.76,0,-0.086
0.78,0,-0.086
0.8,0,-0.086
0.82,0,-0.086
0.84,0,-0.086
0.86,0,-0.086
0.88,0,-0.086
0.9,0,-0.086
0.92,0,-0.086
0.94,0,-0.086
0.96,0,-0.086
0.98,0,-0.086
1,0.8,-0.086
1.02,0.8,-0.086
1.04,0.8,-0.086
1.06,0.8,-0.086
1.08,0.8,-0.086
1.1,0.8,-0.086
1.12,0.8,-0.086
1.14,0.8,-0.086
1.16,0.8,-0.086
1.18,0.8,-0.086
1.2,0.8,-0.086
1.22,0.8,-0.086
1.24,0.8,-0.084
1.26,0.8,-0.084
1.28,0.8,-0.081
1.3,0.8,-0.074
1.32,0.8,-0.065
1.34,0.8,-0.053
1.36,0.8,-0.037
1.38,0.8,-0.018
1.4,0.8,0.005
1.42,0.8,0.033
1.44,0.8,0.062
1.46,0.8,0.096
1.48,0.8,0.132
1.5,0.8,0.172
1.52,0.8,0.214
1.54,0.8,0.258
1.56,0.8,0.303
1.58,0.8,0.349
1.6,0.8,0.396
1.62,0.8,0.445
1.64,0.8,0.492
1.66,0.8,0.541
1.68,0.8,0.588
1.7,0.8,0.635
1.72,0.8,0.68
1.74,0.8,0.726
1.76,0.8,0.767
1.78,0.8,0.809
1.8,0.8,0.848
1.82,0.8,0.884
1.84,0.8,0.919
1.86,0.8,0.951
1.88,0.8,0.98
1.9,0.8,1.007
1.92,0.8,1.029
1.94,0.8,1.05
1.96,0.8,1.068
1.98,0.8,1.082
2,0.8,1.094
2.02,0.8,1.103
2.04,0.8,1.108
2.06,0.8,1.11
2.08,0.8,1.108
2.1,0.8,1.104
2.12,0.8,1.097
2.14,0.8,1.087
2.16,0.8,1.075
2.18,0.8,1.059
2.2,0.8,1.04
2.22,0.8,1.019
2.24,0.8,0.994
2.26,0.8,0.966
2.28,0.8,0.939
2.3,0.8,0.907
2.32,0.8,0.872
2.34,0.8,0.837
2.36,0.8,0.801
2.38,0.8,0.762
2.4,0.8,0.722
2.42,0.8,0.68
2.44,0.8,0.638
2.46,0.8,0.596
2.48,0.8,0.553
2.5,0.8,0.509
2.52,0.8,0.467
2.54,0.8,0.425
2.56,0.8,0.383
2.58,0.8,0.343
2.6,0.8,0.305
2.62,0.8,0.268
2.64,0.8,0.233
2.66,0.8,0.202
2.68,0.8,0.172
2.7,0.8,0.146
2.72,0.8,0.122
2.74,0.8,0.101
2.76,0.8,0.085
2.78,0.8,0.071
2.8,0.8,0.061
2.82,0.8,0.054
2.84,0.8,0.05
2.86,0.8,0.05
2.88,0.8,0.054
2.9,0.8,0.061
2.92,0.8,0.071
2.94,0.8,0.085
2.96,0.8,0.102
2.98,0.8,0.123
3,0.8,0.146
3.02,0.8,0.171
3.04,0.8,0.198
3.06,0.8,0.23
3.08,0.8,0.261
3.1,0.8,0.294
3.12,0.8,0.329
3.14,0.8,0.366
3.16,0.8,0.403
3.18,0.8,0.441
3.2,0.8,0.479
3.22,0.8,0.516
3.24,0.8,0.555
3.26,0.8,0.591
3.28,0.8,0.628
3.3,0.8,0.663
3.32,0.8,0.698
3.34,0.8,0.731
3.36,0.8,0.762
3.38,0.8,0.79
3.4,0.8,0.818
3.42,0.8,0.844
3.44,0.8,0.867
3.46,0.8,0.888
3.48,0.8,0.905
3.5,0.8,0.921
3.52,0.8,0.935
3.54,0.8,0.945
3.56,0.8,0.954
3.58,0.8,0.959
3.6,0.8,0.961
3.62,0.8,0.963
3.64,0.8,0.959
3.66,0.8,0.954
3.68,0.8,0.947
3.7,0.8,0.937
3.72,0.8,0.925
3.74,0.8,0.909
3.76,0.8,0.891
3.78,0.8,0.872
3.8,0.8,0.851
3.82,0.8,0.827
3.84,0.8,0.802
3.86,0.8,0.774
3.88,0.8,0.747
3.9,0.8,0.717
3.92,0.8,0.685
3.94,0.8,0.652
3.96,0.8,0.619
3.98,0.8,0.586
4,0.8,0.551
4.02,0.8,0.516
4.04,0.8,0.481
4.06,0.8,0.448
4.08,0.8,0.413
4.1,0.8,0.38
4.12,0.8,0.349
4.14,0.8,0.319
4.16,0.8,0.289
4.18,0.8,0.263
4.2,0.8,0.237
4.22,0.8,0.214
4.24,0.8,0.193
4.26,0.8,0.176
4.28,0.8,0.16
4.3,0.8,0.146
4.32,0.8,0.137
4.34,0.8,0.13
4.36,0.8,0.125
4.38,0.8,0.123
4.4,0.8,0.125
4.42,0.8,0.13
4.44,0.8,0.137
4.46,0.8,0.148
4.48,0.8,0.16
4.5,0.8,0.176
4.52,0.8,0.193
4.54,0.8,0.212
4.56,0.8,0.235
4.58,0.8,0.26
4.6,0.8,0.286
4.62,0.8,0.314
4.64,0.8,0.342
4.66,0.8,0.371
4.68,0.8,0.403
4.7,0.8,0.434
4.72,0.8,0.467
4.74,0.8,0.5
