Tiempo ,CONTROL,PID,ANGULO,REFERENC,PERTURBA
-0.02,0,0,0,0,0
0,0.028,0.028,-0.086,0,0
0.02,0.029,0.029,-0.086,0,0
0.04,0.029,0.029,-0.086,0,0
0.06,0.029,0.029,-0.086,0,0
0.08,0.03,0.03,-0.086,0,0
0.1,0.03,0.03,-0.086,0,0
0.12,0.03,0.03,-0.086,0,0
0.14,0.031,0.031,-0.086,0,0
0.16,0.031,0.031,-0.086,0,0
0.18,0.031,0.031,-0.086,0,0
0.2,0.032,0.032,-0.086,0,0
0.22,0.032,0.032,-0.086,0,0
0.24,0.032,0.032,-0.086,0,0
0.26,0.033,0.033,-0.086,0,0
0.28,0.033,0.033,-0.086,0,0
0.3,0.033,0.033,-0.086,0,0
0.32,0.034,0.034,-0.086,0,0
0.34,0.034,0.034,-0.086,0,0
0.36,0.034,0.034,-0.086,0,0
0.38,0.035,0.035,-0.086,0,0
0.4,0.035,0.035,-0.086,0,0
0.42,0.035,0.035,-0.086,0,0
0.44,0.036,0.036,-0.086,0,0
0.46,0.036,0.036,-0.086,0,0
0.48,0.037,0.037,-0.086,0,0
0.5,0.037,0.037,-0.086,0,0
0.52,0.037,0.037,-0.086,0,0
0.54,0.038,0.038,-0.086,0,0
0.56,0.038,0.038,-0.086,0,0
0.58,0.038,0.038,-0.086,0,0
0.6,0.039,0.039,-0.086,0,0
0.62,0.039,0.039,-0.086,0,0
0.64,0.039,0.039,-0.086,0,0
0.66,0.04,0.04,-0.086,0,0
0.68,0.04,0.04,-0.086,0,0
0.7,0.04,0.04,-0.086,0,0
0.72,0.041,0.041,-0.086,0,0
0.74,0.041,0.041,-0.086,0,0
0.76,0.041,0.041,-0.086,0,0
0.78,0.042,0.042,-0.086,0,0
0.8,0.042,0.042,-0.086,0,0
0.82,0.042,0.042,-0.086,0,0
0.84,0.043,0.043,-0.086,0,0
0.86,0.043,0.043,-0.086,0,0
0.88,0.043,0.043,-0.086,0,0
0.9,0.044,0.044,-0.086,0,0
0.92,0.044,0.044,-0.086,0,0
0.94,0.044,0.044,-0.086,0,0
0.96,0.045,0.045,-0.086,0,0
0.98,0.045,0.045,-0.086,0,0
1,0.045,0.045,-0.086,0,0
1.02,0.046,0.046,-0.086,0,0
1.04,0.046,0.046,-0.086,0,0
1.06,0.046,0.046,-0.086,0,0
1.08,0.047,0.047,-0.086,0,0
1.1,0.047,0.047,-0.086,0,0
1.12,0.047,0.047,-0.086,0,0
1.14,0.048,0.048,-0.086,0,0
1.16,0.048,0.048,-0.086,0,0
1.18,0.049,0.049,-0.086,0,0
