Tiempo ,CONTROL,PID,ANGULO,REFERENC,PERTURBA
-0.02,0,0,0,0,0
0,0.008,0.008,-0.086,0,0
0.02,0.009,0.009,-0.086,0,0
0.04,0.009,0.009,-0.086,0,0
0.06,0.01,0.01,-0.086,0,0
0.08,0.01,0.01,-0.086,0,0
0.1,0.011,0.011,-0.086,0,0
0.12,0.011,0.011,-0.086,0,0
0.14,0.012,0.012,-0.086,0,0
0.16,0.012,0.012,-0.086,0,0
0.18,0.013,0.013,-0.086,0,0
0.2,0.013,0.013,-0.086,0,0
0.22,0.014,0.014,-0.086,0,0
0.24,0.014,0.014,-0.086,0,0
0.26,0.015,0.015,-0.086,0,0
0.28,0.015,0.015,-0.086,0,0
0.3,0.016,0.016,-0.086,0,0
0.32,0.016,0.016,-0.086,0,0
0.34,0.017,0.017,-0.086,0,0
0.36,0.017,0.017,-0.086,0,0
0.38,0.017,0.017,-0.086,0,0
0.4,0.018,0.018,-0.086,0,0
0.42,0.018,0.018,-0.086,0,0
0.44,0.019,0.019,-0.086,0,0
0.46,0.019,0.019,-0.086,0,0
0.48,0.02,0.02,-0.086,0,0
0.5,0.02,0.02,-0.086,0,0
0.52,0.021,0.021,-0.086,0,0
0.54,0.021,0.021,-0.086,0,0
0.56,0.022,0.022,-0.086,0,0
0.58,0.022,0.022,-0.086,0,0
0.6,0.023,0.023,-0.086,0,0
0.62,0.023,0.023,-0.086,0,0
0.64,0.024,0.024,-0.086,0,0
0.66,0.024,0.024,-0.086,0,0
0.68,0.025,0.025,-0.086,0,0
0.7,0.025,0.025,-0.086,0,0
0.72,0.026,0.026,-0.086,0,0
0.74,0.026,0.026,-0.086,0,0
0.76,0.027,0.027,-0.086,0,0
0.78,0.027,0.027,-0.086,0,0
0.8,0.028,0.028,-0.086,0,0
0.82,0.028,0.028,-0.086,0,0
0.84,0.029,0.029,-0.086,0,0
0.86,0.029,0.029,-0.086,0,0
0.88,0.029,0.029,-0.086,0,0
0.9,0.03,0.03,-0.086,0,0
0.92,0.03,0.03,-0.086,0,0
0.94,0.031,0.031,-0.086,0,0
0.96,0.031,0.031,-0.086,0,0
0.98,0.032,0.032,-0.086,0,0
1,0.032,0.032,-0.086,0,0
1.02,0.033,0.033,-0.086,0,0
1.04,0.033,0.033,-0.086,0,0
1.06,0.034,0.034,-0.086,0,0
1.08,0.034,0.034,-0.086,0,0
1.1,0.035,0.035,-0.086,0,0
1.12,0.035,0.035,-0.086,0,0
1.14,0.036,0.036,-0.086,0,0
1.16,0.036,0.036,-0.086,0,0
1.18,0.037,0.037,-0.086,0,0
1.2,0.037,0.037,-0.086,0,0
1.22,0.038,0.038,-0.086,0,0
1.24,0.038,0.038,-0.086,0,0
1.26,0.039,0.039,-0.086,0,0
1.28,0.039,0.039,-0.086,0,0
1.3,0.04,0.04,-0.086,0,0
1.32,0.04,0.04,-0.086,0,0
1.34,0.041,0.041,-0.086,0,0
1.36,0.041,0.041,-0.086,0,0
1.38,0.042,0.042,-0.086,0,0
1.4,0.042,0.042,-0.086,0,0
1.42,0.042,0.042,-0.086,0,0
1.44,0.043,0.043,-0.086,0,0
1.46,0.043,0.043,-0.086,0,0
1.48,0.044,0.044,-0.086,0,0
1.5,0.044,0.044,-0.086,0,0
1.52,0.045,0.045,-0.086,0,0
1.54,0.045,0.045,-0.086,0,0
1.56,0.046,0.046,-0.086,0,0
1.58,0.046,0.046,-0.086,0,0
