Tiempo ,CONTROL,PID,ANGULO,REFERENC,PERTURBA
,,,,,
-0.02,0,0,0,0,0
0,0.134,0.134,-0.086,0,0
0.02,0.134,0.134,-0.086,0,0
0.04,0.134,0.134,-0.086,0,0
0.06,0.135,0.135,-0.086,0,0
0.08,0.135,0.135,-0.086,0,0
0.1,0.135,0.135,-0.086,0,0
0.12,0.135,0.135,-0.086,0,0
0.14,0.136,0.136,-0.086,0,0
0.16,0.136,0.136,-0.086,0,0
0.18,0.136,0.136,-0.086,0,0
0.2,0.137,0.137,-0.086,0,0
0.22,0.137,0.137,-0.086,0,0
0.24,0.137,0.137,-0.086,0,0
0.26,0.137,0.137,-0.086,0,0
0.28,0.138,0.138,-0.086,0,0
0.3,0.138,0.138,-0.086,0,0
0.32,0.138,0.138,-0.086,0,0
0.34,0.139,0.139,-0.086,0,0
0.36,0.139,0.139,-0.086,0,0
0.38,0.139,0.139,-0.086,0,0
0.4,0.138,0.138,-0.084,0,0
0.42,0.138,0.138,-0.084,0,0
0.44,0.137,0.137,-0.083,0,0
0.46,0.136,0.136,-0.081,0,0
0.48,0.134,0.134,-0.079,0,0
0.5,0.133,0.133,-0.077,0,0
0.52,0.132,0.132,-0.076,0,0
0.54,0.129,0.129,-0.072,0,0
0.56,0.127,0.127,-0.07,0,0
0.58,0.124,0.124,-0.067,0,0
0.6,0.122,0.122,-0.065,0,0
0.62,0.119,0.119,-0.062,0,0
0.64,0.116,0.116,-0.058,0,0
0.66,0.114,0.114,-0.056,0,0
0.68,0.11,0.11,-0.053,0,0
0.7,0.107,0.107,-0.049,0,0
0.72,0.104,0.104,-0.048,0,0
0.74,0.101,0.101,-0.044,0,0
0.76,0.097,0.097,-0.041,0,0
0.78,0.095,0.095,-0.039,0,0
0.8,0.092,0.092,-0.037,0,0
0.82,0.09,0.09,-0.035,0,0
0.84,0.087,0.087,-0.034,0,0
0.86,0.085,0.085,-0.032,0,0
0.88,0.082,0.082,-0.03,0,0
0.9,0.081,0.081,-0.03,0,0
0.92,0.079,0.079,-0.028,0,0
0.94,0.078,0.078,-0.028,0,0
0.96,0.077,0.077,-0.028,0,0
0.98,0.077,0.077,-0.03,0,0
1,0.076,0.076,-0.03,0,0
1.02,0.077,0.077,-0.032,0,0
1.04,0.078,0.078,-0.034,0,0
1.06,0.079,0.079,-0.035,0,0
1.08,0.081,0.081,-0.039,0,0
1.1,0.083,0.083,-0.042,0,0
1.12,0.085,0.085,-0.044,0,0
1.14,0.087,0.087,-0.048,0,0
1.16,0.09,0.09,-0.051,0,0
1.18,0.093,0.093,-0.055,0,0
1.2,0.098,0.098,-0.06,0,0
1.22,0.101,0.101,-0.063,0,0
1.24,0.105,0.105,-0.067,0,0
1.26,0.109,0.109,-0.07,0,0
1.28,0.112,0.112,-0.074,0,0
1.3,0.116,0.116,-0.077,0,0
1.32,0.12,0.12,-0.081,0,0
1.34,0.124,0.124,-0.084,0,0
1.36,0.128,0.128,-0.088,0,0
1.38,0.131,0.131,-0.089,0,0
1.4,0.135,0.135,-0.093,0,0
1.42,0.138,0.138,-0.095,0,0
1.44,0.141,0.141,-0.096,0,0
1.46,0.144,0.144,-0.098,0,0
1.48,0.145,0.145,-0.098,0,0
1.5,0.148,0.148,-0.1,0,0
1.52,0.15,0.15,-0.1,0,0
1.54,0.151,0.151,-0.1,0,0
1.56,0.151,0.151,-0.098,0,0
1.58,0.151,0.151,-0.096,0,0
1.6,0.151,0.151,-0.095,0,0
1.62,0.15,0.15,-0.093,0,0
1.64,0.148,0.148,-0.089,0,0
1.66,0.146,0.146,-0.086,0,0
1.68,0.143,0.143,-0.081,0,0
1.7,0.14,0.14,-0.077,0,0
1.72,0.136,0.136,-0.072,0,0
1.74,0.132,0.132,-0.067,0,0
1.76,0.127,0.127,-0.062,0,0
1.78,0.123,0.123,-0.056,0,0
1.8,0.118,0.118,-0.051,0,0
1.82,0.113,0.113,-0.046,0,0
1.84,0.107,0.107,-0.039,0,0
1.86,0.101,0.101,-0.034,0,0
1.88,0.096,0.096,-0.028,0,0
1.9,0.092,0.092,-0.025,0,0
1.92,0.086,0.086,-0.02,0,0
1.94,0.08,0.08,-0.014,0,0
1.96,0.076,0.076,-0.011,0,0
1.98,0.071,0.071,-0.007,0,0
2,0.068,0.068,-0.006,0,0
2.02,0.063,0.063,-0.002,0,0
2.04,0.06,0.06,0,0,0
2.06,0.059,0.059,0,0,0
2.08,0.057,0.057,0,0,0
2.1,0.055,0.055,0,0,0
2.12,0.055,0.055,-0.002,0,0
2.14,0.055,0.055,-0.004,0,0
2.16,0.055,0.055,-0.006,0,0
2.18,0.057,0.057,-0.009,0,0
2.2,0.058,0.058,-0.013,0,0
2.22,0.062,0.062,-0.018,0,0
2.24,0.064,0.064,-0.021,0,0
2.26,0.068,0.068,-0.027,0,0
2.28,0.074,0.074,-0.034,0,0
2.3,0.078,0.078,-0.039,0,0
2.32,0.084,0.084,-0.046,0,0
2.34,0.09,0.09,-0.053,0,0
2.36,0.097,0.097,-0.06,0,0
2.38,0.102,0.102,-0.065,0,0
2.4,0.109,0.109,-0.072,0,0
2.42,0.116,0.116,-0.079,0,0
2.44,0.124,0.124,-0.086,0,0
2.46,0.131,0.131,-0.093,0,0
2.48,0.139,0.139,-0.1,0,0
2.5,0.145,0.145,-0.105,0,0
2.52,0.152,0.152,-0.11,0,0
2.54,0.159,0.159,-0.116,0,0
